keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,source_round_number,next_round_target,keyword_source_scope,keyword_source_article_count
food safety team found,yake,1,0.333333,1,1,0.0,0.479467,0.01,0.055556,0.163033,enforcement/evidence,drop,non-oil food context without edible-oil signal,11,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,"...stant commissioner (food) Sarvesh Kumar said the action was taken at Samyak Mithaiwala in Rasulpur Nawada. ""A food safety team found rasgullas polluted and infested with mosquitoes. 1 sample from the sweets was collected and sent for laborato...",2,3,unique_round_02_relevant_articles_only,18
food safety teams found,yake,1,0.333333,1,1,0.0,0.479467,0.01,0.055556,0.163033,enforcement/evidence,drop,non-oil food context without edible-oil signal,11,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,Noida: Around 100kg of rasgullas were destroyed at a sweet shop in Sector 62 after food safety teams found them stored in unhygienic and contaminated conditions during a pre-Holi drive in GB Nagar. Assistant commiss...,2,3,unique_round_02_relevant_articles_only,18
food safety officers found,yake,1,0.333333,1,1,0.0,0.479004,0.01,0.055556,0.162918,enforcement/evidence,drop,weak domain term below threshold,10,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"...was present during the action. In another case, inspection was done at Vinayak Bakers at Hawa Sadak, Jaipur. Food safety officers found expired materials at the bakery, which were seized. Action is now being taken to suspend its food licence. W...",2,3,unique_round_02_relevant_articles_only,18
food safety authority teams,yake,1,0.333333,1,1,0.0,0.478174,0.01,0.055556,0.16271,enforcement/evidence,drop,non-oil food context without edible-oil signal,15,Oil’s not well? Food safety teams smell fraud,https://www.thehindu.com/news/cities/Hyderabad/oils-not-well-food-safety-teams-smell-fraud/article65290089.ece,"...in India. Suspecting that the price rise may lead to sale of adulterated or substandard edible oil, Telangana Food Safety Authority teams conducted checks at oil manufacturing units, packaging units and retail stores in the State, and collected 98...",2,3,unique_round_02_relevant_articles_only,18
food safety officer sanjay,yake,1,0.333333,1,1,0.0,0.478099,0.01,0.055556,0.162691,enforcement/evidence,drop,weak domain term below threshold,4,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,"...seized mawa, valued at Rs 3.42 lakh, was transported to a rubbish disposal plant and destroyed. According to food safety officer Sanjay Pratap Singh, the action was taken in compliance with the directions of Cans the district magistrate. The spe...",2,3,unique_round_02_relevant_articles_only,18
budh nagar food safety,yake,1,0.333333,1,1,0.0,0.477877,0.01,0.055556,0.162636,enforcement/evidence,drop,weak domain term below threshold,12,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...supplied with safe and quality food items during the festive season NOIDA: Ahead of the Holi festival, Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noida and G...",2,3,unique_round_02_relevant_articles_only,18
nagar food safety authorities,yake,1,0.333333,1,1,0.0,0.47759,0.01,0.055556,0.162564,enforcement/evidence,drop,weak domain term below threshold,12,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...ied with safe and quality food items during the festive season NOIDA: Ahead of the Holi festival, Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noida and Greater Noida...",2,3,unique_round_02_relevant_articles_only,18
food safety officer atul,yake,1,0.333333,1,1,0.0,0.477319,0.01,0.055556,0.162496,enforcement/evidence,drop,weak domain term below threshold,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...aid, ""During the inspection, around five shops were issued improvement notices for hygiene violations."" Chief food safety officer Atul Pathak said, ""Information was received that a large quantity of oil was being illegally transported. Acting o...",2,3,unique_round_02_relevant_articles_only,18
food safety departments raided,yake,1,0.333333,1,1,0.0,0.477286,0.01,0.055556,0.162488,enforcement/evidence,drop,weak domain term below threshold,13,50 cases registered during raids on oil shops in A.P.     ,https://www.thehindu.com/news/national/andhra-pradesh/50-cases-registered-during-raids-on-oil-shops-in-ap/article65360803.ece,"The officials of the Vigilance and Enforcement (V&E), Legal Metrology and Food Safety departments raided wholesale and retail edible oil traders across the State on Wednesday. Raids were conducted in more than 250...",2,3,unique_round_02_relevant_articles_only,18
food safety team,yake,1,0.333333,1,1,0.0,0.477163,0.01,0.055556,0.162457,enforcement/evidence,drop,non-oil food context without edible-oil signal,11,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,"...stant commissioner (food) Sarvesh Kumar said the action was taken at Samyak Mithaiwala in Rasulpur Nawada. ""A food safety team found rasgullas polluted and infested with mosquitoes. 1 sample from the sweets was collected and sent for la...",2,3,unique_round_02_relevant_articles_only,18
food safety teams,yake,1,0.333333,1,1,0.0,0.477163,0.01,0.055556,0.162457,enforcement/evidence,drop,non-oil food context without edible-oil signal,11,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,Noida: Around 100kg of rasgullas were destroyed at a sweet shop in Sector 62 after food safety teams found them stored in unhygienic and contaminated conditions during a pre-Holi drive in GB Nagar. Assistant c...,2,3,unique_round_02_relevant_articles_only,18
food safety officer suresh,yake,1,0.333333,1,1,0.0,0.476743,0.01,0.055556,0.162352,enforcement/evidence,drop,weak domain term below threshold,10,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"...factory in Niwai Industrial Area and seized approximately 6,000 litre of Ranthambore brand Kacchi Ghani oil. Food safety officer Suresh Kumar was present during the action. In another case, inspection was done at Vinayak Bakers at Hawa Sadak, Ja...",2,3,unique_round_02_relevant_articles_only,18
nagar food safety,yake,1,0.333333,1,1,0.0,0.476709,0.01,0.055556,0.162344,enforcement/evidence,drop,weak domain term below threshold,12,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...ied with safe and quality food items during the festive season NOIDA: Ahead of the Holi festival, Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noida and G...",2,3,unique_round_02_relevant_articles_only,18
food safety departments,yake,1,0.333333,1,1,0.0,0.476605,0.01,0.055556,0.162318,enforcement/evidence,drop,weak domain term below threshold,13,50 cases registered during raids on oil shops in A.P.     ,https://www.thehindu.com/news/national/andhra-pradesh/50-cases-registered-during-raids-on-oil-shops-in-ap/article65360803.ece,"The officials of the Vigilance and Enforcement (V&E), Legal Metrology and Food Safety departments raided wholesale and retail edible oil traders across the State on Wednesday. Raids were conducted in more th...",2,3,unique_round_02_relevant_articles_only,18
officer food safety,yake,1,0.333333,1,1,0.0,0.475971,0.01,0.055556,0.162159,enforcement/evidence,drop,weak domain term below threshold,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"...orts, adulteration was found in mustard oil, a brand of honey, pan masala, and paneer. GC Kandwal, designated officer food safety, Dehradun, said that the sample of honey, which was found to be substandard, was collected during a special s...",2,3,unique_round_02_relevant_articles_only,18
food safety act,yake,1,0.333333,1,1,0.0,0.475893,0.01,0.055556,0.16214,enforcement/evidence,drop,weak domain term below threshold,10,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"...on surveillance, the goods were found being unloaded at Muhana Mandi. Samples of the oil were taken under the Food Safety Act 2006, and 6,683 litre seized due to suspicion of substandard quality. Officials said samples of this edible o...",2,3,unique_round_02_relevant_articles_only,18
food safety raids,yake,1,0.333333,1,1,0.0,0.475048,0.01,0.055556,0.161929,enforcement/evidence,drop,weak domain term below threshold,12,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar The drive was carried out to ensure residents are supplie...",2,3,unique_round_02_relevant_articles_only,18
chief food safety officer,yake,1,0.333333,1,1,0.0,0.474508,0.01,0.055556,0.161794,enforcement/evidence,drop,weak domain term below threshold,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...gra, said, ""During the inspection, around five shops were issued improvement notices for hygiene violations."" Chief food safety officer Atul Pathak said, ""Information was received that a large quantity of oil was being illegally transported. Act...",2,3,unique_round_02_relevant_articles_only,18
food safety authority,yake,1,0.333333,1,1,0.0,0.474404,0.01,0.055556,0.161768,enforcement/evidence,drop,weak domain term below threshold,15,Oil’s not well? Food safety teams smell fraud,https://www.thehindu.com/news/cities/Hyderabad/oils-not-well-food-safety-teams-smell-fraud/article65290089.ece,"...in India. Suspecting that the price rise may lead to sale of adulterated or substandard edible oil, Telangana Food Safety Authority teams conducted checks at oil manufacturing units, packaging units and retail stores in the State, and collec...",2,3,unique_round_02_relevant_articles_only,18
food safety authorities,yake,1,0.333333,1,1,0.0,0.474026,0.01,0.055556,0.161673,enforcement/evidence,drop,weak domain term below threshold,12,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...th safe and quality food items during the festive season NOIDA: Ahead of the Holi festival, Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noida and Greater Noida...",2,3,unique_round_02_relevant_articles_only,18
food safety department launched,yake,1,0.333333,1,1,0.0,0.47387,0.01,0.055556,0.161634,enforcement/evidence,drop,weak domain term below threshold,17,Operation Oil: manufacturer to be allowed to launch only one brand of oil ,https://www.thehindu.com/news/national/kerala/operation-oil-manufacturer-to-be-allowed-to-launch-only-one-brand-of-oil/article66144992.ece,"...stock. Further, the presence of sulphur in the oil would be checked by the authorities, said Ms. George. The Food Safety department launched a special drive called ‘Operation Oil’ as part of curbing the sale of adulterated coconut oil in the State. O...",2,3,unique_round_02_relevant_articles_only,18
designated officer food safety,yake,1,0.333333,1,1,0.0,0.473825,0.01,0.055556,0.161623,enforcement/evidence,drop,weak domain term below threshold,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"...to the reports, adulteration was found in mustard oil, a brand of honey, pan masala, and paneer. GC Kandwal, designated officer food safety, Dehradun, said that the sample of honey, which was found to be substandard, was collected during a special s...",2,3,unique_round_02_relevant_articles_only,18
oils,phrase_frequency; tfidf,2,0.666667,7,4,0.138795,0.0,0.07,0.222222,0.159078,other_candidate,drop,low score or outside edible-oil/adulteration scope,5,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown on food adulte...",2,3,unique_round_02_relevant_articles_only,18
assistant commissioner,phrase_frequency; tfidf,2,0.666667,5,5,0.11364,0.0,0.05,0.277778,0.155607,other_candidate,drop,outside edible-oil/adulteration domain,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...so destroyed 'khiya' (reduced dry milk). The drive is ongoing due to upcoming festivals."" Mahendra Singh, the assistant commissioner of FSDA Agra, said, ""During the inspection, around five shops were issued improvement notices for hygiene vio...",2,3,unique_round_02_relevant_articles_only,18
economic times,phrase_frequency; tfidf,2,0.666667,4,1,0.189384,0.0,0.04,0.055556,0.147285,other_candidate,drop,outside edible-oil/adulteration domain,7,"Maha govt, FDA crack down on oil manufacturers to check on adulteration",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,"...nd Consumer Protection Department. (Catch all the Business News, Breaking News and Latest News Updates on The Economic Times.) Subscribe to The Economic Times Prime and read the ET ePaper online. (Catch all the Business News, Breaking...",2,3,unique_round_02_relevant_articles_only,18
safety standards,phrase_frequency; tfidf,2,0.666667,3,3,0.141934,0.0,0.03,0.166667,0.145844,other_candidate,drop,outside edible-oil/adulteration domain,11,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,"...ross the district in the run-up to Holi. Strict action will be taken against those found compromising on food safety standards,"" Kumar said.",2,3,unique_round_02_relevant_articles_only,18
sample,phrase_frequency; tfidf,2,0.666667,5,3,0.132472,0.0,0.05,0.166667,0.145532,other_candidate,drop,low score or outside edible-oil/adulteration scope,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"...a brand of honey, pan masala, and paneer. GC Kandwal, designated officer food safety, Dehradun, said that the sample of honey, which was found to be substandard, was collected during a special state-wide drive in October last...",2,3,unique_round_02_relevant_articles_only,18
worth rs,tfidf,1,0.333333,5,4,0.180389,0.0,0.05,0.222222,0.137303,other_candidate,drop,outside edible-oil/adulteration domain,4,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,"...e Food Security and Drug Administration (FSDA) department on Wednesday seized adulterated mawa and edible oil worth Rs 29.08 lakh and destroyed a large quantity of unsafe products. Acting on a tip-off, a special FSDA team raided...",2,3,unique_round_02_relevant_articles_only,18
refined palmolein,phrase_frequency; tfidf,2,0.666667,5,2,0.130076,0.0,0.05,0.111111,0.13636,other_candidate,drop,outside edible-oil/adulteration domain,11,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,"...said. A total of 291 tins of refined soybean oil, 3,968 pouches of refined soybean oil and 6,995 pouches of refined palmolein oil were seized. Three samples were collected for lab tests. Officials also seized 91 tins (15 kg each) of e...",2,3,unique_round_02_relevant_articles_only,18
safety officer,phrase_frequency; tfidf,2,0.666667,4,3,0.102676,0.0,0.04,0.166667,0.133603,other_candidate,drop,outside edible-oil/adulteration domain,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...""During the inspection, around five shops were issued improvement notices for hygiene violations."" Chief food safety officer Atul Pathak said, ""Information was received that a large quantity of oil was being illegally transported. Act...",2,3,unique_round_02_relevant_articles_only,18
legal action,phrase_frequency; tfidf,2,0.666667,4,3,0.100256,0.0,0.04,0.166667,0.132756,other_candidate,drop,outside edible-oil/adulteration domain,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...s of sugar toys were taken for testing. The FSDA has sent all 11 samples for laboratory analysis, and further legal action will follow under the Food Safety and Standards Act, 2006.",2,3,unique_round_02_relevant_articles_only,18
civil supplies,phrase_frequency; tfidf,2,0.666667,3,3,0.099292,0.0,0.03,0.166667,0.130919,other_candidate,drop,outside edible-oil/adulteration domain,7,"Maha govt, FDA crack down on oil manufacturers to check on adulteration",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,"...ai and parts of Maharashtra such as Panvel, Alibaug, Raigad, among others, said Kamlesh D Kedare of the Food, Civil Supplies and Consumer Protection Department. (Catch all the Business News, Breaking News and Latest News Updates on Th...",2,3,unique_round_02_relevant_articles_only,18
oil worth,phrase_frequency; tfidf,2,0.666667,3,2,0.12097,0.0,0.03,0.111111,0.130173,other_candidate,drop,low score or outside edible-oil/adulteration scope,4,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,"..., the Food Security and Drug Administration (FSDA) department on Wednesday seized adulterated mawa and edible oil worth Rs 29.08 lakh and destroyed a large quantity of unsafe products. Acting on a tip-off, a special FSDA team rai...",2,3,unique_round_02_relevant_articles_only,18
food drug,phrase_frequency; tfidf,2,0.666667,0,0,0.171127,0.0,0.0,0.0,0.126561,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
seizing,phrase_frequency; tfidf,2,0.666667,4,2,0.096362,0.0,0.04,0.111111,0.12306,other_candidate,drop,low score or outside edible-oil/adulteration scope,5,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...et busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major success in seizing 5,026 litres of oil and 5,192 kilograms of wheat during the operation, which targeted a wide range of items,...",2,3,unique_round_02_relevant_articles_only,18
president vladimir,phrase_frequency; tfidf,2,0.666667,4,1,0.119067,0.0,0.04,0.055556,0.122673,other_candidate,drop,outside edible-oil/adulteration domain,2,"Fake oil found in Bihar, here's how to spot it.",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted c...,2,3,unique_round_02_relevant_articles_only,18
russian president,phrase_frequency; tfidf,2,0.666667,4,1,0.119067,0.0,0.04,0.055556,0.122673,other_candidate,drop,outside edible-oil/adulteration domain,2,"Fake oil found in Bihar, here's how to spot it.",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum high...,2,3,unique_round_02_relevant_articles_only,18
vladimir putin,phrase_frequency; tfidf,2,0.666667,4,1,0.119067,0.0,0.04,0.055556,0.122673,other_candidate,drop,outside edible-oil/adulteration domain,2,"Fake oil found in Bihar, here's how to spot it.",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultura...,2,3,unique_round_02_relevant_articles_only,18
action taken,phrase_frequency; tfidf,2,0.666667,0,0,0.158137,0.0,0.0,0.0,0.122014,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
food drug administration,phrase_frequency; tfidf,2,0.666667,0,0,0.110626,0.0,0.0,0.0,0.105386,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
oil pouches,phrase_frequency; tfidf,2,0.666667,0,0,0.107497,0.0,0.0,0.0,0.104291,other_candidate,drop,low score or outside edible-oil/adulteration scope,,,,,2,3,unique_round_02_relevant_articles_only,18
oil pouches refined,phrase_frequency; tfidf,2,0.666667,0,0,0.107497,0.0,0.0,0.0,0.104291,other_candidate,drop,low score or outside edible-oil/adulteration scope,,,,,2,3,unique_round_02_relevant_articles_only,18
pouches refined,phrase_frequency; tfidf,2,0.666667,0,0,0.107497,0.0,0.0,0.0,0.104291,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
rs lakh,tfidf,1,0.333333,0,0,0.20153,0.0,0.0,0.0,0.103869,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
items festive,phrase_frequency; tfidf,2,0.666667,0,0,0.09733,0.0,0.0,0.0,0.100732,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
oil worth rs,tfidf,1,0.333333,3,2,0.12097,0.0,0.03,0.111111,0.09684,other_candidate,drop,low score or outside edible-oil/adulteration scope,4,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,"..., the Food Security and Drug Administration (FSDA) department on Wednesday seized adulterated mawa and edible oil worth Rs 29.08 lakh and destroyed a large quantity of unsafe products. Acting on a tip-off, a special FSDA team raided...",2,3,unique_round_02_relevant_articles_only,18
st petersburg,tfidf,1,0.333333,1,1,0.119067,0.0,0.01,0.055556,0.08484,other_candidate,drop,outside edible-oil/adulteration domain,2,"Fake oil found in Bihar, here's how to spot it.",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,"...eats of sanctions would boomerang. Watch as Russian President Vladimir Putin responds to this and more at the St Petersburg International Economic Forum (SPIEF), which was moderated by India Today's Foreign Affairs Editor Geeta Mohan...",2,3,unique_round_02_relevant_articles_only,18
brand registration,tfidf,1,0.333333,3,1,0.096093,0.0,0.03,0.055556,0.079799,other_candidate,drop,outside edible-oil/adulteration domain,17,Operation Oil: manufacturer to be allowed to launch only one brand of oil ,https://www.thehindu.com/news/national/kerala/operation-oil-manufacturer-to-be-allowed-to-launch-only-one-brand-of-oil/article66144992.ece,"...onut oil, said Health Minister Veena George here on Wednesday. Requesting all coconut oil producers to obtain brand registration compulsorily, the Minister said the government would not allow the sale of coconut oil without brand registra...",2,3,unique_round_02_relevant_articles_only,18
legal metrology,tfidf,1,0.333333,2,1,0.099895,0.0,0.02,0.055556,0.07963,other_candidate,drop,outside edible-oil/adulteration domain,13,50 cases registered during raids on oil shops in A.P.     ,https://www.thehindu.com/news/national/andhra-pradesh/50-cases-registered-during-raids-on-oil-shops-in-ap/article65360803.ece,"The officials of the Vigilance and Enforcement (V&E), Legal Metrology and Food Safety departments raided wholesale and retail edible oil traders across the State on Wednesday. Rai...",2,3,unique_round_02_relevant_articles_only,18
worth rs lakh,tfidf,1,0.333333,0,0,0.13192,0.0,0.0,0.0,0.079505,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
loose sale,tfidf,1,0.333333,2,1,0.099536,0.0,0.02,0.055556,0.079504,other_candidate,drop,outside edible-oil/adulteration domain,8,"Mustard, Palm Olein Oil Worth â¹7.7l Seized | Kanpur News - Times of India",https://timesofindia.indiatimes.com/city/kanpur/mustard-palm-olein-oil-worth-7-7l-seized/articleshow/95000423.cms,"...nal city magistrate first from Shanti Niketan Kidwai Nagar. Around 204 litre of mustard oil was collected for loose sale, 1000 liters of rice bran oil for loose sale, and 2500kg of Palmolein were seized by the department. Samples...",2,3,unique_round_02_relevant_articles_only,18
bagchi teams,tfidf,1,0.333333,0,0,0.099895,0.0,0.0,0.0,0.068297,other_candidate,drop,non-oil food context without edible-oil signal,,,,,2,3,unique_round_02_relevant_articles_only,18
vigilance enforcement,tfidf,1,0.333333,0,0,0.099895,0.0,0.0,0.0,0.068297,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
samples sweets,tfidf,1,0.333333,0,0,0.099536,0.0,0.0,0.0,0.068171,other_candidate,drop,non-oil food context without edible-oil signal,,,,,2,3,unique_round_02_relevant_articles_only,18
breaking latest,tfidf,1,0.333333,0,0,0.094692,0.0,0.0,0.0,0.066476,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
articles recently,phrase_frequency,1,0.333333,3,3,0.0,0.0,0.03,0.166667,0.062833,other_candidate,drop,outside edible-oil/adulteration domain,6,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,"...y member, a 50-year-old woman, was admitted to PGI hospital in late Sept. tnn We also published the following articles recently Constitution Day: Who were members of drafting committee of India's ConstitutionIndia celebrates Constitution...",2,3,unique_round_02_relevant_articles_only,18
expiry date,phrase_frequency,1,0.333333,3,3,0.0,0.0,0.03,0.166667,0.062833,other_candidate,drop,outside edible-oil/adulteration domain,9,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...said on Monday that they raided a food shop in the city and found boxes of shrikhand with no manufacturing or expiry date. Taking serious note of the same, the FDA officials seized shrikhand boxes weighing over 61 kg and worth over...",2,3,unique_round_02_relevant_articles_only,18
