keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,example_article_id,example_domain,example_publication_date,example_relevance_label,example_relevance_score,example_query_used,example_word_count
oils,phrase_frequency; tfidf,2,0.666667,126,35,0.388472,0.0,0.275109,0.343137,0.295369,other_candidate,drop,low score or outside edible-oil/adulteration scope,4,"33 held, 27 establishments sealed in Maharashtra FDA's three-day drive",https://www.hindustantimes.com/cities/mumbai-news/33-held-27-establishments-sealed-in-maharashtra-fda-s-three-day-drive-101780125189075.html,"...oducts, as officials collected samples of packaged drinking water, milk, juices, carbonated beverages, edible oils, sweets, ice cream, toddy, spices, khoya, paneer, ghee, gram flour and bakery products for quality testing. F...",a4201faa-2e70-4413-b9b4-4e991a5f2773,hindustantimes.com,2026-05-30,relevant,0.95,"""edible oil"" adulteration India",466
samples were of sweets,yake,1,0.333333,1,1,0.0,1.0,0.002183,0.009804,0.285131,other_candidate,drop,non-oil food context without edible-oil signal,72,Ambala: 25% food samples fail quality test - The Tribune,https://www.tribuneindia.com/news/haryana/25-food-samples-fail-quality-test-494650,"...samples, seven of cereal products, four of bakery products, three each of salt, beverages and edible oil, two samples were of sweets and one of paan masala. Food Safety Officer Dr Rajeev Kumar said, “To ensure that food products being sold in...",4f25d70d-412a-4389-991e-40491d71271e,tribuneindia.com,2023-04-06,relevant,0.9,"""food safety officer"" ""edible oil"" India",305
fat into the paneer,yake,1,0.333333,1,1,0.0,0.76602,0.002183,0.009804,0.226636,other_candidate,drop,non-oil food context without edible-oil signal,70,"Ahead of festive season, adulterated paneer, milk, and oil raise alarms for food safety in Lucknow",https://www.hindustantimes.com/cities/others/ahead-of-festive-season-adulterated-paneer-milk-and-oil-raise-alarms-for-food-safety-in-lucknow-101693406351671.html,"...shopkeepers resort to substandard powdered milk with low fat content. To compensate, some even inject foreign fat into the paneer, which becomes evident in the testing process,” explained Singh. Since April, FSDA Lucknow has gathered a tot...",13ac734a-6f74-4a4c-a027-2f7440824fa8,hindustantimes.com,2023-08-30,relevant,1.0,"""edible oil"" adulteration India",635
standards authority,phrase_frequency; tfidf,2,0.666667,56,52,0.172008,0.0,0.122271,0.509804,0.221681,other_candidate,drop,outside edible-oil/adulteration domain,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...product as defined in these regulations.â How to identify Analogue or Fake Paneer? While the Food Safety and Standards Authority of India (FSSAI) has issued a lot of tests and measures to check adulteration in milk and milk products, ther...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
cooking,phrase_frequency; tfidf,2,0.666667,69,31,0.24756,0.0,0.150655,0.303922,0.221499,other_candidate,drop,low score or outside edible-oil/adulteration scope,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...d godown in Charminar and seized around 110 kg of prepared fried chicken, half a dozen 15-litre tins of loose cooking oil and artificial chemical food colours. The H-FAST team posted on X,and mentioned that in association with...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
oil to the laboratory,yake,1,0.333333,2,1,0.0,0.708859,0.004367,0.009804,0.212674,other_candidate,drop,low score or outside edible-oil/adulteration scope,76,"Over 4,000 litre of adulterated oil seized from Chennai store",https://indianexpress.com/article/cities/chennai/over-4-litre-of-adulterated-oil-seized-from-chennai-store-8107733/,"...litre of adulterated oil seized from Chennai store The officials noted that they have sent the samples of the oil to the laboratory. Further action will be taken depending on the result, the officials said. Food safety department officials T...",9e07f2f1-4703-4a36-af39-5c0d5fd27351,indianexpress.com,2022-08-23,irrelevant,,"""adulterated oil"" seized India",397
mustard,phrase_frequency; tfidf,2,0.666667,81,15,0.201083,0.0,0.176856,0.147059,0.185633,other_candidate,drop,low score or outside edible-oil/adulteration scope,7,"Adulterated Osmania biscuits, fake paneer, rotten eggs: What Hyderabad’s crackdown on eateries has revealed",https://indianexpress.com/article/india/adulterated-osmania-biscuits-fake-paneer-rotten-eggs-what-hyderabads-crackdown-on-eateries-has-revealed-10612335/,"...and spoilt milk, curd, and dairy products, as well as adulterated spices such as turmeric, chilli powder, and mustard. Officials also found fake detergent powder and mosquito repellent packed in branded labels. From a dairy pro...",b73e96cd-56e7-4a46-8c42-578e352771b3,indianexpress.com,2026-04-01,irrelevant,,"""palm oil"" adulteration India",478
food items,phrase_frequency; tfidf,2,0.666667,37,25,0.180138,0.0,0.080786,0.245098,0.178597,other_candidate,drop,outside edible-oil/adulteration domain,4,"33 held, 27 establishments sealed in Maharashtra FDA's three-day drive",https://www.hindustantimes.com/cities/mumbai-news/33-held-27-establishments-sealed-in-maharashtra-fda-s-three-day-drive-101780125189075.html,"...sioner Tukaram Mundhe said. As per a release, the operation targeted the sale of banned products, adulterated food items, unsafe food manufacturing units and violations of food safety regulations, with FDA teams carrying out inspe...",a4201faa-2e70-4413-b9b4-4e991a5f2773,hindustantimes.com,2026-05-30,relevant,0.95,"""edible oil"" adulteration India",466
vegetable,phrase_frequency; tfidf,2,0.666667,49,22,0.178319,0.0,0.106987,0.215686,0.177479,other_candidate,drop,low score or outside edible-oil/adulteration scope,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...ing Cheese Analogue products as paneer, misleading consumers. For the unversed, cheese analogue is made using vegetable fats and non-milk ingredients, but it was allegedly being sold under labels such as ""Paneer"", ""Malai Paneer"",...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
drug administration,phrase_frequency; tfidf,2,0.666667,37,32,0.143111,0.0,0.080786,0.313725,0.175932,other_candidate,drop,outside edible-oil/adulteration domain,2,FDA seizes energy drink stock worth Rs 56L over misbranding,https://timesofindia.indiatimes.com/city/aurangabad/fda-seizes-energy-drink-stock-worth-rs-56l-over-misbranding/articleshow/131489352.cms,Chhatrapati Sambhajinagar: Food and drug administration (FDA) officials on Tuesday seized energy drink stock worth over Rs 56 lakh over alleged misbranding after con...,af5d5af3-49a7-43ed-9bad-0c1f703198e7,timesofindia.indiatimes.com,2026-06-04,relevant,0.9,"""edible oil"" adulteration India",386
edible oils,phrase_frequency; tfidf,2,0.666667,43,19,0.189987,0.0,0.093886,0.186275,0.175186,other_candidate,drop,low score or outside edible-oil/adulteration scope,4,"33 held, 27 establishments sealed in Maharashtra FDA's three-day drive",https://www.hindustantimes.com/cities/mumbai-news/33-held-27-establishments-sealed-in-maharashtra-fda-s-three-day-drive-101780125189075.html,"...nned products, as officials collected samples of packaged drinking water, milk, juices, carbonated beverages, edible oils, sweets, ice cream, toddy, spices, khoya, paneer, ghee, gram flour and bakery products for quality testing. F...",a4201faa-2e70-4413-b9b4-4e991a5f2773,hindustantimes.com,2026-05-30,relevant,0.95,"""edible oil"" adulteration India",466
safety standards,phrase_frequency; tfidf,2,0.666667,10,10,0.243414,0.0,0.021834,0.098039,0.169843,other_candidate,drop,outside edible-oil/adulteration domain,13,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,...cks will be intensified in coming days to ensure that food and beverages sold in the district meet prescribed safety standards. Authorities said the drive aims to curb the sale of adulterated or substandard food items during the festive...,6359c859-9e31-4689-a0fa-bd3412be4be5,hindustantimes.com,2026-02-24,irrelevant,,"""edible oil"" adulterated India",481
mawa,phrase_frequency; tfidf,2,0.666667,44,7,0.218555,0.0,0.09607,0.068627,0.167866,other_candidate,drop,non-oil food context without edible-oil signal,5,800 kg fake khoya destroyed: 5 ways to check the purity at home and how to make preservative-free khoya,https://timesofindia.indiatimes.com/life-style/food-news/800-kg-fake-khoya-destroyed-5-ways-to-check-the-purity-at-home-and-how-to-make-preservative-free-khoya/articleshow/131217407.cms,"Khoya or mawa is an integral part of the sweets and desserts market in India. From festival times to daily celebrations, kh...",4ee92ac2-8d45-44d3-ae2e-3d4dfea256ea,timesofindia.indiatimes.com,2026-05-20,irrelevant,,"""oil"" ""food safety"" ""seized"" India",659
food products,phrase_frequency; tfidf,2,0.666667,31,21,0.137589,0.0,0.067686,0.205882,0.155858,other_candidate,drop,outside edible-oil/adulteration domain,2,FDA seizes energy drink stock worth Rs 56L over misbranding,https://timesofindia.indiatimes.com/city/aurangabad/fda-seizes-energy-drink-stock-worth-rs-56l-over-misbranding/articleshow/131489352.cms,...gulations that prohibit the use of terms like âelectrolyteâ or âelectrolyte drinkâ or similar descriptors for food products in the absence of a prescribed standard. FDA officials cited a May 26 letter issued by the Food Safety and St...,af5d5af3-49a7-43ed-9bad-0c1f703198e7,timesofindia.indiatimes.com,2026-06-04,relevant,0.9,"""edible oil"" adulteration India",386
economic times,phrase_frequency; tfidf,2,0.666667,20,5,0.192095,0.0,0.043668,0.04902,0.147803,other_candidate,drop,outside edible-oil/adulteration domain,34,"SEA urges CCPA, FSSAI to take action against 'misleading' social media claims on refined oils",https://economictimes.indiatimes.com/industry/cons-products/food/sea-urges-ccpa-fssai-to-take-action-against-misleading-social-media-claims-on-refined-oils/articleshow/122950128.cms,"...dustry,"" the association said. PTI (Catch all the Business News, Breaking News and Latest News Updates on The Economic Times.) Subscribe to The Economic Times Prime and read the ET ePaper online. (Catch all the Business News, Breaking...",65f3c178-df32-4620-8f31-162973f0bbb6,economictimes.indiatimes.com,2025-07-28,relevant,0.65,"FSSAI ""edible oil"" India",297
adulterated paneer,phrase_frequency; tfidf,2,0.666667,29,15,0.134513,0.0,0.063319,0.147059,0.145303,adulteration/fraud,drop,non-oil food context without edible-oil signal,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...e product isn't authentic paneer. Use your hands Simply mash some paneer using your clean and bare hands. The adulterated paneer is made with skimmed milk, hence, it cannot bear the pressure of hands and will start falling apart when pres...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
safety department,phrase_frequency; tfidf,2,0.666667,24,20,0.116235,0.0,0.052402,0.196078,0.144621,other_candidate,drop,outside edible-oil/adulteration domain,5,800 kg fake khoya destroyed: 5 ways to check the purity at home and how to make preservative-free khoya,https://timesofindia.indiatimes.com/life-style/food-news/800-kg-fake-khoya-destroyed-5-ways-to-check-the-purity-at-home-and-how-to-make-preservative-free-khoya/articleshow/131217407.cms,"...to news of adulteration and selling of fake mawa in the market. In a major crackdown, the Uttar Pradesh Food Safety Department raided an illegal khoya manufacturing unit in Sardhana, Meerut, and seized over 800 kg of adulterated mawa. A...",4ee92ac2-8d45-44d3-ae2e-3d4dfea256ea,timesofindia.indiatimes.com,2026-05-20,irrelevant,,"""oil"" ""food safety"" ""seized"" India",659
sample,phrase_frequency; tfidf,2,0.666667,27,13,0.139495,0.0,0.058952,0.127451,0.14345,other_candidate,drop,low score or outside edible-oil/adulteration scope,5,800 kg fake khoya destroyed: 5 ways to check the purity at home and how to make preservative-free khoya,https://timesofindia.indiatimes.com/life-style/food-news/800-kg-fake-khoya-destroyed-5-ways-to-check-the-purity-at-home-and-how-to-make-preservative-free-khoya/articleshow/131217407.cms,"...rch. If not, it is pure and fit for human consumption. Method 2 Another method you can use at home involves a sample of sulphuric acid, which helps test for chemicals like formalin. Take a small khoya sample in a beaker and ad...",4ee92ac2-8d45-44d3-ae2e-3d4dfea256ea,timesofindia.indiatimes.com,2026-05-20,irrelevant,,"""oil"" ""food safety"" ""seized"" India",659
products which were found,yake,1,0.333333,1,1,0.0,0.418063,0.002183,0.009804,0.139647,other_candidate,drop,outside edible-oil/adulteration domain,61,"Crackdown on ‘halal’ products in UP: 2,275 kg of food items seized",https://indianexpress.com/article/cities/lucknow/crackdown-on-halal-products-in-up-2275-kg-of-food-items-seized-9040099/,"...le inspections were random, the raids were conducted on specific information. We have seized 2,275 kg of food products which were found to be halal-certified. These products included things like pasta, sewai, mint, pulses, salt, etc. We have sei...",7bed14b9-d596-4978-819c-93bb7fc92f9b,indianexpress.com,2023-11-24,relevant,0.9,"""edible oil"" adulterated India",547
public health,phrase_frequency; tfidf,2,0.666667,24,18,0.097668,0.0,0.052402,0.176471,0.135181,other_candidate,drop,outside edible-oil/adulteration domain,3,FDA seizes 3.4 tonnes of suspect chemically ripened mangoes at APMC,https://www.hindustantimes.com/cities/mumbai-news/fda-seizes-3-4-tonnes-of-suspect-chemically-ripened-mangoes-at-apmc-101780427156417.html,"...ard edible oil, ghee, farsan and noodle products worth more than ₹7.30 lakh. Mundhe said those who compromise public health through food adulteration, banned products, or misleading practices would face stringent action. “Those playi...",79f1b622-bb63-4727-aa20-b31d9e3baf17,hindustantimes.com,2026-06-03,relevant,0.95,"""edible oil"" adulteration India",503
safety officer,phrase_frequency; tfidf,2,0.666667,23,15,0.108714,0.0,0.050218,0.147059,0.134308,other_candidate,drop,outside edible-oil/adulteration domain,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...a latest series of incidents, the Hyderabad Food Adulteration Surveillance Team (H-FAST), along with the Food Safety Officer (FSO), raided an unlicensed fast food godown in Charminar and the Hyderabad Commissioner's Task Force also co...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
festive season,phrase_frequency; tfidf,2,0.666667,20,14,0.112045,0.0,0.043668,0.137255,0.133021,other_candidate,drop,outside edible-oil/adulteration domain,11,"1,400 kg fake khoya, 400 kilo expired ghee and paneer seized by FSSAI before Holi",https://economictimes.indiatimes.com/news/new-updates/1400-kg-fake-khoya-400-kilo-expired-ghee-and-paneer-seized-by-fssai-before-holi/articleshow/128938525.cms,"...nfections and other long-term health complications, prompting authorities to intensify inspections during the festive season.",887860ed-e92c-4bb6-b293-55776d733ae3,economictimes.indiatimes.com,2026-03-02,relevant,0.95,"""cooking oil"" adulteration India",306
milk powder,phrase_frequency; tfidf,2,0.666667,20,15,0.102232,0.0,0.043668,0.147059,0.131057,other_candidate,drop,non-oil food context without edible-oil signal,5,800 kg fake khoya destroyed: 5 ways to check the purity at home and how to make preservative-free khoya,https://timesofindia.indiatimes.com/life-style/food-news/800-kg-fake-khoya-destroyed-5-ways-to-check-the-purity-at-home-and-how-to-make-preservative-free-khoya/articleshow/131217407.cms,"...ds Authority of India (FSSAI), officials confiscated nearly 70 tins of refined oil and eight sacks of skimmed milk powder during the operation. The team collected nine samples from the spot for further laboratory analysis. In a X...",4ee92ac2-8d45-44d3-ae2e-3d4dfea256ea,timesofindia.indiatimes.com,2026-05-20,irrelevant,,"""oil"" ""food safety"" ""seized"" India",659
paneer with less fat,yake,1,0.333333,1,1,0.0,0.377547,0.002183,0.009804,0.129518,other_candidate,drop,non-oil food context without edible-oil signal,40,Over 500kg adulterated paneer seized by food safety and drug administration | Patna News - The Times of India,https://timesofindia.indiatimes.com/city/patna/over-500kg-adulterated-paneer-seized-by-food-safety-and-drug-administration/articleshow/118985802.cms,"...Safety and Standards Authority of India norm. ""This is not allowed. To make paneer, 50% fat is essential. If paneer with less fat is produced, it must be packaged and sold as low-fat paneer. And, paneer cannot be made from milk powder as i...",c8c21007-7075-426a-bc13-f7ee8230b01c,timesofindia.indiatimes.com,2025-03-13,relevant,1.0,"""edible oil"" adulteration India",398
per cent,phrase_frequency; tfidf,2,0.666667,34,6,0.122128,0.0,0.074236,0.058824,0.12937,other_candidate,drop,outside edible-oil/adulteration domain,64,"Punjab: 6,500 kg of spurious sweets, milk items seized in 10 days - The Tribune",https://www.tribuneindia.com/news/punjab/6-500-kg-of-spurious-sweets-milk-items-seized-in-10-days-560816,"...tration (FDA) has seized over 6,500 kg of khoya and sweets, which were unfit for human consumption. Around 30 per cent of these came from Haryana and Rajasthan. As per data compiled by the FDA, between October 29 and November 7,...",06e4c972-438d-44e3-bec8-7aa40ba295b7,tribuneindia.com,2023-11-09,irrelevant,,"""oil"" ""food safety"" ""seized"" India",366
dairy products,phrase_frequency; tfidf,2,0.666667,21,13,0.103623,0.0,0.045852,0.127451,0.12893,other_candidate,drop,outside edible-oil/adulteration domain,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...ns are likely in the coming days. What is Analogue Paneer? As defined by the FSSAI for regulations around all dairy products, âAnalogue means a product in which constituents not derived from milk take the place, in part or in whole, o...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
safety standards authority,phrase_frequency; tfidf,2,0.666667,1,1,0.172008,0.0,0.002183,0.009804,0.128668,other_candidate,drop,outside edible-oil/adulteration domain,84,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’",https://indianexpress.com/article/cities/chandigarh/ban-on-blending-of-mustard-oil-will-benefit-farmers-lead-to-more-production-of-healthier-alternative-7378786/,...ustard to provide a healthy oil for human consumption and decrease India's dependence on oil import. THE FOOD Safety Standards Authority of India (FSSAI) has banned blending of mustard oil with any other oil. Blending of edible oils was first per...,48a4021c-2fdd-4e64-b340-80827d1d3f5e,indianexpress.com,2021-06-28,relevant,0.95,"""edible oil"" adulteration India",1850
fake paneer,phrase_frequency; tfidf,2,0.666667,24,10,0.110911,0.0,0.052402,0.098039,0.128052,adulteration/fraud,drop,non-oil food context without edible-oil signal,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,...milk or milk product or composite milk product as defined in these regulations.â How to identify Analogue or Fake Paneer? While the Food Safety and Standards Authority of India (FSSAI) has issued a lot of tests and measures to che...,06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
milk products,phrase_frequency; tfidf,2,0.666667,20,11,0.107435,0.0,0.043668,0.107843,0.126996,other_candidate,drop,non-oil food context without edible-oil signal,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...Standards Authority of India (FSSAI) has issued a lot of tests and measures to check adulteration in milk and milk products, there are certain ways in which you can do the quality check of store-bought paneer at home as well. Take a...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
officers of various states,yake,1,0.333333,2,2,0.0,0.287625,0.004367,0.019608,0.108836,other_candidate,drop,outside edible-oil/adulteration domain,81,24% edible oil samples adulterated: FSSAI | Today News,https://www.livemint.com/news/india/24-edible-oil-samples-adulterated-fssai-11640775486648.html,"...er non-listed oils. These were collected from 587 districts across the country and four metros by food safety officers of various states and union territories. These samples were then sent to various FSSAI notified labs, where they were tested fo...",5e2aa478-ed53-4649-a76c-5ae847bd9759,livemint.com,2021-12-29,relevant,1.0,"""cooking oil"" adulteration India",487
latest updates,phrase_frequency; tfidf,2,0.666667,1,1,0.096375,0.0,0.002183,0.009804,0.102196,other_candidate,drop,non-oil food context without edible-oil signal,9,"Gujarat news: 1,401 kg of adulterated paneer seized in Surat; food outlet was operating without licence, says FSSAI | Today News",https://www.livemint.com/news/india/gujarat-news-1-401-kg-of-adulterated-paneer-seized-in-surat-food-outlet-was-operating-without-licence-says-fssai-11772801034522.html,"...hed analysis on national news, business, personal finance, corporates, politics and geopolitics. We bring the latest updates on all the listed companies on BSE and NSE, startups, mutual funds, Union ministries, geopolitics, and untapp...",6521cd47-18cb-4918-97a0-315d86c8e792,livemint.com,2026-03-06,relevant,1.0,"FSDA ""edible oil"" seized",788
cbi raid,tfidf,1,0.333333,1,1,0.183845,0.0,0.002183,0.009804,0.099477,enforcement/evidence,drop,weak domain term below threshold,79,"CBI Raid: हिमाचल के रक्कड़ में सीबीआई की दबिश, खाद्य तेल कारोबारी समेत पांच पर एफआईआर",https://www.amarujala.com/shimla/cbi-raid-in-himachal-s-rakkar-una-fir-on-five-including-edible-oil-trader?utm_source=rssfeed&utm_medium=Referral&utm_campaign=rssfeed,"CBI Raid: हिमाचल के रक्कड़ में सीबीआई की दबिश, खाद्य तेल कारोबारी समेत पांच पर एफआईआर सीबीआई ने बुधवार को एक खाद्य तेल...",2207ac08-93ea-46ad-ac64-a51b2472c469,amarujala.com,2022-05-18,irrelevant,,"""edible oil"" raid India",414
worth rs,tfidf,1,0.333333,16,6,0.12942,0.0,0.034934,0.058824,0.092694,other_candidate,drop,outside edible-oil/adulteration domain,2,FDA seizes energy drink stock worth Rs 56L over misbranding,https://timesofindia.indiatimes.com/city/aurangabad/fda-seizes-energy-drink-stock-worth-rs-56l-over-misbranding/articleshow/131489352.cms,"...mmissioner Tukaram Mundheâs directive. In another crackdown in Chhatrapati Sambhajinagar, FDA seized cow ghee worth Rs 18,150 over suspected adulteration on Wednesday. The raid was conducted at a dairy and food firm in Gajanan N...",af5d5af3-49a7-43ed-9bad-0c1f703198e7,timesofindia.indiatimes.com,2026-06-04,relevant,0.9,"""edible oil"" adulteration India",386
administration said that consumers,yake,1,0.333333,1,1,0.0,0.207061,0.002183,0.009804,0.086897,other_candidate,drop,outside edible-oil/adulteration domain,77,"Food items fail quality check in Chandigarh: Purchase food from licensed & hygienic stores, says food safety dept",https://indianexpress.com/article/cities/chandigarh/food-items-fail-quality-check-in-chandigarh-purchase-food-from-licensed-hygienic-stores-says-food-safety-dept-8079080/,...iled. The department has lodged complaints and the matter has been taken up by the concerned authorities. The administration said that consumers must be cautious and ensure that they purchase food items from the licensed shops that maintain hygiene and u...,c1763661-c264-4472-a619-c31758b0a686,indianexpress.com,2022-08-09,relevant,0.75,"""food safety department"" ""edible oil"" India",216
water used in food,yake,1,0.333333,1,1,0.0,0.197769,0.002183,0.009804,0.084574,other_candidate,drop,outside edible-oil/adulteration domain,97,Food safety - The Navhind Times,https://navhindtimes.in/editorial/food-safety/,"...contamination scares involving fish imported from neighbouring states, sewage and bacterial contamination of water used in food preparation, and adulteration of coconut oil and spices. Microplastics in seafood and concerns over heavy met...",bfbb7012-5c7d-4d4b-b208-6a61bec2c5dd,navhindtimes.in,,relevant,0.85,"""coconut oil"" adulteration India",587
economic times prime,tfidf,1,0.333333,10,5,0.096047,0.0,0.021834,0.04902,0.077578,other_candidate,drop,outside edible-oil/adulteration domain,34,"SEA urges CCPA, FSSAI to take action against 'misleading' social media claims on refined oils",https://economictimes.indiatimes.com/industry/cons-products/food/sea-urges-ccpa-fssai-to-take-action-against-misleading-social-media-claims-on-refined-oils/articleshow/122950128.cms,"...(Catch all the Business News, Breaking News and Latest News Updates on The Economic Times.) Subscribe to The Economic Times Prime and read the ET ePaper online. (Catch all the Business News, Breaking News and Latest News Updates on The Eco...",65f3c178-df32-4620-8f31-162973f0bbb6,economictimes.indiatimes.com,2025-07-28,relevant,0.65,"FSSAI ""edible oil"" India",297
epaper online,tfidf,1,0.333333,10,5,0.096047,0.0,0.021834,0.04902,0.077578,other_candidate,drop,outside edible-oil/adulteration domain,34,"SEA urges CCPA, FSSAI to take action against 'misleading' social media claims on refined oils",https://economictimes.indiatimes.com/industry/cons-products/food/sea-urges-ccpa-fssai-to-take-action-against-misleading-social-media-claims-on-refined-oils/articleshow/122950128.cms,"...ng News and Latest News Updates on The Economic Times.) Subscribe to The Economic Times Prime and read the ET ePaper online. (Catch all the Business News, Breaking News and Latest News Updates on The Economic Times.) Subscribe to The...",65f3c178-df32-4620-8f31-162973f0bbb6,economictimes.indiatimes.com,2025-07-28,relevant,0.65,"FSSAI ""edible oil"" India",297
et epaper,tfidf,1,0.333333,10,5,0.096047,0.0,0.021834,0.04902,0.077578,other_candidate,drop,outside edible-oil/adulteration domain,34,"SEA urges CCPA, FSSAI to take action against 'misleading' social media claims on refined oils",https://economictimes.indiatimes.com/industry/cons-products/food/sea-urges-ccpa-fssai-to-take-action-against-misleading-social-media-claims-on-refined-oils/articleshow/122950128.cms,"...aking News and Latest News Updates on The Economic Times.) Subscribe to The Economic Times Prime and read the ET ePaper online. (Catch all the Business News, Breaking News and Latest News Updates on The Economic Times.) Subscribe...",65f3c178-df32-4620-8f31-162973f0bbb6,economictimes.indiatimes.com,2025-07-28,relevant,0.65,"FSSAI ""edible oil"" India",297
et epaper online,tfidf,1,0.333333,10,5,0.096047,0.0,0.021834,0.04902,0.077578,other_candidate,drop,outside edible-oil/adulteration domain,34,"SEA urges CCPA, FSSAI to take action against 'misleading' social media claims on refined oils",https://economictimes.indiatimes.com/industry/cons-products/food/sea-urges-ccpa-fssai-to-take-action-against-misleading-social-media-claims-on-refined-oils/articleshow/122950128.cms,"...aking News and Latest News Updates on The Economic Times.) Subscribe to The Economic Times Prime and read the ET ePaper online. (Catch all the Business News, Breaking News and Latest News Updates on The Economic Times.) Subscribe to The...",65f3c178-df32-4620-8f31-162973f0bbb6,economictimes.indiatimes.com,2025-07-28,relevant,0.65,"FSSAI ""edible oil"" India",297
officials said the department,yake,1,0.333333,1,1,0.0,0.161193,0.002183,0.009804,0.07543,other_candidate,drop,outside edible-oil/adulteration domain,3,FDA seizes 3.4 tonnes of suspect chemically ripened mangoes at APMC,https://www.hindustantimes.com/cities/mumbai-news/fda-seizes-3-4-tonnes-of-suspect-chemically-ripened-mangoes-at-apmc-101780427156417.html,"...n forms part of a wider enforcement campaign launched by Mundhe soon after taking charge as FDA commissioner. Officials said the department has intensified surprise inspections across wholesale markets, food processing units, and retail establishmen...",79f1b622-bb63-4727-aa20-b31d9e3baf17,hindustantimes.com,2026-06-03,relevant,0.95,"""edible oil"" adulteration India",503
conducted under the food,yake,1,0.333333,1,1,0.0,0.154706,0.002183,0.009804,0.073808,other_candidate,drop,outside edible-oil/adulteration domain,90,Four food products fail quality test in Dimapur Zone,https://morungexpress.com/four-food-products-fail-quality-test-in-dimapur-zone,"...Peren) has identified four food products as substandard following routine surveillance and laboratory testing conducted under the Food Safety and Standards Authority of India (FSSAI) Act, 2006, and has initiated legal proceedings against the se...",5c8053bc-2016-405d-a103-419d809c60da,morungexpress.com,,relevant,0.8,"FSSAI ""edible oil"" India",375
