not_candidate,risk_flag,irrelevant_category,irrelevant_review_label,irrelevant_composite_score,irrelevant_document_frequency,irrelevant_total_frequency,positive_exact_kept,positive_overlap_terms,example_irrelevant_title,example_context
tonnes in the year,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,"Oil’s Not Well With Palm And Sunflower As Indonesia’s Export Curbs Sets Off Alarm Bells Over Price Hikes, Inflation","...ountry's total vegetable oil imports rose 16 per cent to 12.70 lakh tonnes in January, compared to 10.96 lakh tonnes in the year. Palm oil is a relatively cheaper oil among the other edible oils. According to a Crisil research, palm oil i..."
traders said after india,possible_not_candidate,location,manual_review,0.034115,1,1,0,,Palm oil price rallies as Indonesia dilly-dallies on revoking export ban ,"...tonne, while RBD palmoleing’s cost is $1,800. Sunflower oil’s costs $2,100 and degummed soyabean oil $1,836. Traders said after India decided to allow imports of soyabean and sunflower oils duty-free on Tuesday, Argentina’s soyabean oil witnes..."
widodo said his country,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Indonesia’s move to revoke palm oil export ban comes with a rider,"...e local markets. On Thursday (May 19), while announcing that his government would revoke the ban from May 23, Widodo said his country had ample palm oil supplies to ensure the supply of cooking oil to the domestic consumers. No clarity yet on..."
widodo said the supply,possible_not_candidate,other_candidate,drop,0.034115,1,1,0,,Cooking oil prices to cool as Indonesia lifts export ban | Today News,...ices of food and fuel. Food inflation in April soared to 8.38% from 7.68% in March. Indonesian President Joko Widodo said the supply of bulk cooking oil surpassed optimum levels and would help ease the prices of cooking oil in Indonesia. “In...
ban,risky_domain_term_may_drop_relevant,enforcement/evidence,manual_review,0.271379,99,401,0,,Blended edible oil beneficial: FSSAI | Today News,...e government found through a field survey that there was an increase in mustard oilseed area post the FSSAI’s ban on the blending of mustard oil for production of multi-sourced edible vegetable oils (MSEVOs) with effect in...
oil prices,risky_domain_term_may_drop_relevant,other_candidate,drop,0.166113,64,140,0,,Russia-Ukraine war: Vigilance officials raid traders in AP after rise in edible oil prices,"Russia-Ukraine war: Vigilance officials raid traders in AP after rise in edible oil prices Vigilance officials raided traders in Andhra Pradesh after prices of edible oils increased in the state, sinc..."
vegetable,risky_domain_term_may_drop_relevant,other_candidate,drop,0.160335,62,118,0,,40 Quintal Cooking Oil Seized For Violation Of Rules | Indore News - Times of India,"...Oilseeds Trade (Control) Order-2022, setting the stock limit of edible oil and oilseeds of soybean, mustard, vegetable, peanut, sunflower and palm for the retail and wholesale tradersâ said ADM Abhay Bedekar. He added that all t..."
crude palm,risky_domain_term_may_drop_relevant,other_candidate,drop,0.150548,57,109,0,,"Sebi bans launch of new derivative contracts of crude palm oil, few other agri commodities","Markets watchdog Sebi has banned the launch of new derivative contracts of crude palm oil, moong, wheat and few other agricultural commodities with immediate effect amid rising inflation. With re..."
vegetable oil,risky_domain_term_may_drop_relevant,oil/product,manual_review,0.149847,56,97,0,,Blended edible oil beneficial: FSSAI | Today News,"...FSSAI regulations, blending of two edible oils is permitted, provided the proportion by weight of any edible vegetable oil used is at least 20%. Companies are obliged to disclose the blending ratio on the label of the bottle. “The i..."
export ban,risky_domain_term_may_drop_relevant,enforcement/evidence,manual_review,0.146872,48,100,0,,Palm oil ban: Edible oil industry asks govt to initiate dialogue with Indonesia - BusinessToday,"...ested immediate initiation of government to government (G2G) dialogue with Indonesia on the proposed palm oil export ban from April 28 by them as it would have an adverse repercussions in India. Indonesia, which is the world's lar..."
oil industry,risky_domain_term_may_drop_relevant,other_candidate,drop,0.120479,41,49,0,,The mustard oil mystery: Why is it banned in the US and Europe?,...here is hope for a safer and healthier mustard oil thanks to advancements in processing techniques within the oil industry. The journey of mustard seed oil is being discussed and may eventually be reexamined and accepted in the culi...
bulk cooking,risky_domain_term_may_drop_relevant,other_candidate,drop,0.117487,26,47,0,,Indonesia to ban palm oil exports to curb domestic prices - BusinessToday,"...recent days over high cooking oil prices. Indonesia's government has set a cap of 14,000 rupiah per litre for bulk cooking oil, but Trade Ministry data showed that it was sold at more than 18,000 rupiah this month. A government inve..."
oil exports,risky_domain_term_may_drop_relevant,other_candidate,drop,0.111692,32,48,0,,Indonesia to ban palm oil exports to curb domestic prices - BusinessToday,"Indonesia will effectively ban palm oil exports from April 28, until further notice, after President Joko Widodo on Friday announced a halting of shipments o..."
oil export,risky_domain_term_may_drop_relevant,other_candidate,drop,0.110319,28,38,0,,Palm oil ban: Edible oil industry asks govt to initiate dialogue with Indonesia - BusinessToday,"...suggested immediate initiation of government to government (G2G) dialogue with Indonesia on the proposed palm oil export ban from April 28 by them as it would have an adverse repercussions in India. Indonesia, which is the world's..."
banned,risky_domain_term_may_drop_relevant,enforcement/evidence,manual_review,0.106751,31,37,0,,Blended edible oil beneficial: FSSAI | Today News,"...1.9 million tonnes (mt) against the previous year’s 10.2 mt, according to the agriculture ministry. The FSSAI banned the blending of mustard oil with any oil effective from 8 June 2021 to benefit farmers, provide healthy oil f..."
used cooking,risky_domain_term_may_drop_relevant,other_candidate,drop,0.103996,18,38,0,,FDA cracks down on shop selling reused cooking oil - Deshdoot,"...seized the cooking oil, which is harmful to health. Traders playing with citizens’ health by repeatedly using used cooking oil have now come under the radar of the Food and Drug Administration. Edible oil is suitable for frying if i..."
oil imports,risky_domain_term_may_drop_relevant,other_candidate,drop,0.10328,25,32,0,,Blended edible oil beneficial: FSSAI | Today News,"...2021 to benefit farmers, provide healthy oil for human consumption and decrease India’s dependence on edible oil imports by increasing production. “After the healthy situation of mustard farmers and an increase in mustard seed are..."
soyoil,risky_domain_term_may_drop_relevant,other_candidate,drop,0.100926,15,33,0,,Soyoil futures surge as Indonesia bans palm oil exports to increase supply,"As soon as Indonesia announced the ban, there was a more than 3% jump in the U.S soyoil futures to 84.03 cents/pound. Atul Chaturvedi, trade body Solvent Extractors Association of India (SEA) Presi..."
de-oiled,risky_domain_term_may_drop_relevant,other_candidate,drop,0.099499,7,38,0,,"Income Tax dept raids on edible oil business group across Bengal, Assam","...ngaged in a variety ofÂ businesses ranging from the production and sale of edible Rice Bran Oil, mustard oil, De-Oiled Rice Bran (DORB), different types of chemicals and real estate, etc. A total of 23 premises spread over Uttar..."
de-oiled rice,risky_domain_term_may_drop_relevant,other_candidate,drop,0.099499,7,38,0,,"Income Tax dept raids on edible oil business group across Bengal, Assam","...ngaged in a variety ofÂ businesses ranging from the production and sale of edible Rice Bran Oil, mustard oil, De-Oiled Rice Bran (DORB), different types of chemicals and real estate, etc. A total of 23 premises spread over Uttar Dina..."
de-oiled rice bran,risky_domain_term_may_drop_relevant,other_candidate,drop,0.099499,7,38,0,,"Income Tax dept raids on edible oil business group across Bengal, Assam","...ngaged in a variety ofÂ businesses ranging from the production and sale of edible Rice Bran Oil, mustard oil, De-Oiled Rice Bran (DORB), different types of chemicals and real estate, etc. A total of 23 premises spread over Uttar Dinajpur,..."
ban exports,risky_domain_term_may_drop_relevant,enforcement/evidence,manual_review,0.097289,15,16,0,,Palm oil ban: Edible oil industry asks govt to initiate dialogue with Indonesia - BusinessToday,"...f palm oil and meets nearly 50 per cent of the total palm oil requirement in India annually, had announced to ban exports till further notice apparently to contain edible oil prices in their domestic market. ''We have suggested our..."
oil palm,risky_domain_term_may_drop_relevant,other_candidate,drop,0.091122,12,18,0,,"Sunflower oil shortage boon for palm oil producers, bane for consumers","...ally in a bid to curtail a dramatic rise in domestic cooking oil prices. Indonesia is the largest producer of oil palm, followed by Malaysia. Despite several attempts made by the Centre to cool off edible oil prices, nothing muc..."
ban palm,risky_domain_term_may_drop_relevant,enforcement/evidence,manual_review,0.087069,7,8,0,,Indonesia to ban palm oil exports to curb domestic prices - BusinessToday,"Indonesia will effectively ban palm oil exports from April 28, until further notice, after President Joko Widodo on Friday announced a halting of..."
oil supply,risky_domain_term_may_drop_relevant,other_candidate,drop,0.065487,18,26,0,,"Sunflower oil shortage boon for palm oil producers, bane for consumers","...e roof. The geo-political worries in the Black Sea region has a significant bearing on sunflower seed and its oil supply from the region, as both countries involved in the war are major sources for the oilseed. India is a major im..."
oil export ban,risky_domain_term_may_drop_relevant,enforcement/evidence,drop,0.065171,21,26,0,,Palm oil ban: Edible oil industry asks govt to initiate dialogue with Indonesia - BusinessToday,"...suggested immediate initiation of government to government (G2G) dialogue with Indonesia on the proposed palm oil export ban from April 28 by them as it would have an adverse repercussions in India. Indonesia, which is the world's lar..."
domestic cooking,risky_domain_term_may_drop_relevant,other_candidate,drop,0.064629,17,27,0,,"Sunflower oil shortage boon for palm oil producers, bane for consumers","...ecently mandated a minimum proportion of production to be sold locally in a bid to curtail a dramatic rise in domestic cooking oil prices. Indonesia is the largest producer of oil palm, followed by Malaysia. Despite several attempts mad..."
oil through the ports,risky_domain_term_may_drop_relevant,other_candidate,drop,0.038968,1,1,0,,Ban on palm oil import through Kerala ports bleeds consumers       ,"...ation to Minister for Commerce Piyush Goyal requesting to lift the restrictions imposed on the import of palm oil through the ports in Kerala. Published - June 07, 2022 09:22 pm IST"
oil in the southeast,risky_domain_term_may_drop_relevant,other_candidate,drop,0.038348,1,1,0,,Edible oil prices may rise 15-20% as Indonesia bans palm oil exports,"...until further orders. The decision comes in the wake of a severe shortage and skyrocketing prices for edible oil in the southeast Asian nation. The retail price of cooking oil in Indonesia averages at 26,436 rupiahs ($1.84) per litre, up m..."
consumers get the cooking,risky_domain_term_may_drop_relevant,other_candidate,drop,0.038305,1,1,0,,Edible oil industry readies for tough time over Indonesian ban on exports,"...s including CPO and RBP palm oil also. According to agency reports, this was done mainly to ensure Indonesian consumers get the cooking fat at a reasonable price. Indonesia is the world’s largest producer and exporter of palm oil in the world pr..."
oil to the country,risky_domain_term_may_drop_relevant,other_candidate,drop,0.038234,1,1,0,,Indonesia’s move to revoke palm oil export ban comes with a rider,"...Indonesia’s DMO policy will be to ensure that at least 10 million tonnes would be supplied to ensure cooking oil to the country’s vulnerable citizens. Hameed said Indonesia planned to open at least 10,000 outlets to sell cooking oil at d..."
consumers on the edible,risky_domain_term_may_drop_relevant,other_candidate,drop,0.037669,1,1,0,,Tough times ahead for Indian edible oil consumers as Indonesia bans export of edible oils,"There appears to be no respite for the Indian consumers on the edible oil front. Consumers should brace themselves for difficult times ahead, as Indonesia, India’s main source of..."
products such as cooking,risky_domain_term_may_drop_relevant,other_candidate,drop,0.036601,1,1,0,,"Food safety scandal: Fuel tanker trucks used to transport cooking oil in China, suggests report - Times of India","...ijing News, a local daily, reported last week that Sinograin's fuel tankers were discovered transporting food products such as cooking oil, soybean oil, and syrup without properly cleaning the tankers between shipments. In response to the alleg..."
oil in a securities,risky_domain_term_may_drop_relevant,other_candidate,drop,0.036427,1,1,0,,"From spreads to shampoo, Indonesia's palm oil ban will rattle your everyday life","...and Indonesia. MONDELEZ INTERNATIONAL The Oreo cookie maker said that it purchases “large quantities” of palm oil in a securities filing. It accounts for 0.5% of palm oil consumption globally, according to its website. Danone said it purch..."
oil in the country,risky_domain_term_may_drop_relevant,other_candidate,drop,0.035679,3,3,0,,Cooking Oil Prices May Increase In India Amid Indonesia's Palm Oil Export Ban,"...I will continue to monitor and evaluate the implementation of this policy so that the availability of cooking oil in the country is abundant and at an affordable price,” Widodo said. The announcement came three days after the Attorney Gen..."
farmers since the ban,risky_domain_term_may_drop_relevant,enforcement/evidence,drop,0.034897,2,2,0,,Indonesia to lift palm oil export ban from Monday | Stock Market News,"...peratives. APKASINDO estimates at least 25% of palm oil mills have stopped buying palm fruit from independent farmers since the ban started, indicating storage tanks are filling up at mills."
supply of the edible,risky_domain_term_may_drop_relevant,other_candidate,drop,0.034897,2,2,0,,"From spreads to shampoo, Indonesia's palm oil ban will rattle your everyday life","Indonesia counts for more than half of the global supply of the edible oil, which is used in everything from cakes, chocolate, margarine and frying fats to cosmetics, soap, shampoo..."
airlangga said the ban,risky_domain_term_may_drop_relevant,enforcement/evidence,drop,0.034115,1,1,0,,Indonesia to reimpose local palm oil sales rule as it ends export ban - BusinessToday,"..., raising that to 30% in March before scrapping it in favor of higher export levies. PALM OIL FUTURES REBOUND Airlangga said the ban has helped lift the monthly cooking oil stock to 109% of monthly demand from 33% in March, and lower the aver..."
bajoria said the ban,risky_domain_term_may_drop_relevant,enforcement/evidence,drop,0.034115,1,1,0,,Edible oil prices may rise 15-20% as Indonesia bans palm oil exports,"..., they started consuming palm oil. Now there is no alternative, since palm oil is the cheapest oil,” he said. Bajoria said the ban may not last more than a month since Indonesia already has 5 million tonne of palm oil and produces another 4..."
ban came when coconut,risky_domain_term_may_drop_relevant,enforcement/evidence,drop,0.034115,1,1,0,,Kerala ports lose out as palm oil import ban completes 17 years,"...Chamber of Commerce and Industry, says there is a huge demand for palm oil in the Kerala market. “The import ban came when coconut farmers were struggling after the coconut oil prices declined to Rs 47/kg. Now it’s Rs 200/kg and Keralites,..."
derivative but not refined,risky_domain_term_may_drop_relevant,other_candidate,drop,0.034115,1,1,0,,FMCGs may pinch more if Indonesia bans crude palm oil exports too,...f crude palm oil and RBD palm oil could be allowed. Food companies and soap makers use crude palm oil and its derivative but not refined palm oil to manufacture their products. Nestle. While most listed consumer firms are yet to announce quarterl...
imports before the ban,risky_domain_term_may_drop_relevant,enforcement/evidence,drop,0.034115,1,1,0,,Ban on palm oil import through Kerala ports bleeds consumers       ,"...rage increase of 2-4 lakh tonne before COVID-19 and an average of 2 lakh tonne after COVID-19 compared to the imports before the ban. Now, the Kerala Exporters Forum has given a representation to Minister for Commerce Piyush Goyal requesting..."
litres of used cooking,risky_domain_term_may_drop_relevant,other_candidate,drop,0.034115,1,1,0,,Karnataka Food Safety and Drug Administration shifts focus to trans fat reduction in cooking oil,...industry to adopt healthier practices. RUCO agency representatives informed the commissioner that 32.68 lakh litres of used cooking oil had been collected during 2024-25 and 2025-26. Agencies were encouraged to ramp up collection efforts and...
markets of other vegetable,risky_domain_term_may_drop_relevant,other_candidate,drop,0.034115,1,1,0,,Explained | Why did Indonesia ban palm oil exports and how will it affect India?,"...ices to record highs. After Indonesia’s unprecedented announcement to ban palm oil exports altogether, global markets of other vegetable oils saw spikes. The price of soybean oil on April 22, saw a 4.5% rise, taking it to a record high of 83.21 c..."
oil in a test,risky_domain_term_may_drop_relevant,other_candidate,drop,0.034115,1,1,0,,Cooking Oil Adulteration: Is your cooking oil adulterated with dangerous metanil yellow colour?,...w in cooking oil. Here’s how you can check the adulteration at home. (Image: istock) 1. Take a sample of 1 ml oil in a test tube. 2. Add 4ml of distilled water to it and shake the test tube. 3. Take 2ml of this mixture in another tes...
oil in the production,risky_domain_term_may_drop_relevant,other_candidate,drop,0.034115,1,1,0,,"Stopped adulteration, so mustard oil is expensive: Agriculture Minister Narendra Singh Tomar","...enefit the farmers working in oilseeds and mustard across the country. That is, now the ban on mixing mustard oil in the production and packing of edible vegetable oil prepared from oils from multiple sources has come into force. An order re..."
oil with the tpm,risky_domain_term_may_drop_relevant,other_candidate,drop,0.034115,1,1,0,,FDA urges âbigâ hotels to hand over excess edible oil for bio-diesel | Nagpur News - Times of India,"...spot tests of the cooking oil with total polar material (TPM) count meter. âThe exercise to check the cooking oil with the TPM meter was to ensure that they were not reused to the extent of becoming hazardous for health,â he said. âTho..."
supplies of the edible,risky_domain_term_may_drop_relevant,other_candidate,drop,0.034115,1,1,0,,Indonesia lifts ban on palm oil exports but shipments unlikely now | Here's why,"...but shipments were not expected to get underway until details emerge on new rules aimed at securing domestic supplies of the edible oil. The Southeast Asian country, the world's biggest palm oil producer, halted exports of palm oil from Apri..."
wednesday that the ban,risky_domain_term_may_drop_relevant,enforcement/evidence,drop,0.034115,1,1,0,,Food protectionism ramps up as Indonesia bans palm oil exports,"...limit a day earlier, hours before Indonesia announced the widened export ban. President Joko Widodo said late Wednesday that the ban would be lifted once the local demand for food staples is met, adding that it was “ironic” that the country h..."
years after the ban,risky_domain_term_may_drop_relevant,enforcement/evidence,drop,0.034115,1,1,0,,Kerala ports lose out as palm oil import ban completes 17 years,"...itres capacity at Kochi and another with 20,000 litres in Azhikkal had been idling empty for the last several years after the ban,” he says."
edible,risky_overlap_with_positive_keyword,other_candidate,drop,0.271873,125,387,0,adulterated edible; adulterated edible oil; edible oil; edible oil worth,FDA urges âbigâ hotels to hand over excess edible oil for bio-diesel | Nagpur News - Times of India,Nagpur: The Food and Drugs Administration (FDA) has urged eight city hotels â where edible oil consumption is more than 50 litres per day â to hand over their excess edible used oils for bio-diesel re...
cooking,risky_overlap_with_positive_keyword,other_candidate,drop,0.259437,94,364,0,adulterated cooking; adulterated cooking oil; cooking oil; cooking oils; fake cooking oil,Cooking Oil Adulteration: Is your cooking oil adulterated with dangerous metanil yellow colour?,"...is week, they have shared a test video on how to detect the use of a prohibited colour like metanil yellow in cooking oil. Here’s how you can check the adulteration at home. (Image: istock) 1. Take a sample of 1 ml oil in a tes..."
oils,risky_overlap_with_positive_keyword,other_candidate,drop,0.193329,87,193,0,cooking oils,FDA urges âbigâ hotels to hand over excess edible oil for bio-diesel | Nagpur News - Times of India,...hotels â where edible oil consumption is more than 50 litres per day â to hand over their excess edible used oils for bio-diesel recycling to a designated company empanelled with the Food Safety and Standards Authority of I...
mustard,risky_overlap_with_positive_keyword,other_candidate,drop,0.148868,34,131,0,mustard oil,Patanjali's mustard oil unit in Alwar raided by Rajasthan govt: Report,"...ter’s remark on allopathy, it has now been reported that Alwar collectorate officials have raided Patanjali’s mustard oil manufacturer Singhania oil mill. As per a Republic World report, a raid was conducted on the mill on the..."
crude palm oil,risky_overlap_with_positive_keyword,oil/product,manual_review,0.148554,56,105,0,palm oil,"Sebi bans launch of new derivative contracts of crude palm oil, few other agri commodities","Markets watchdog Sebi has banned the launch of new derivative contracts of crude palm oil, moong, wheat and few other agricultural commodities with immediate effect amid rising inflation. With respec..."
edible oils,risky_overlap_with_positive_keyword,other_candidate,drop,0.144243,55,93,0,edible oil,Vig Raids To Check Edible Oil Hoarding | Vijayawada News - Times of India,"Vijayawada/Visakhapatnam: With a view to controlling the price of palmolein oil, other edible oils, oilseeds, and pulses in market, surprise raids were carried out on 126 wholesale and retail traders, superma..."
coconut,risky_overlap_with_positive_keyword,other_candidate,drop,0.141103,15,111,0,adulterated coconut; adulterated coconut oil; coconut oil,Fake Coconut Oil Identity: Signs your coconut oil is fake and how to spot the real one,"As the price of coconut oil continues to surge in the market, especially in the southern region of India, the rising prices have now..."
rice bran,risky_overlap_with_positive_keyword,other_candidate,drop,0.117863,17,65,0,rice bran oil,Food Dept Seizes 831l Mustard Oil | Kanpur News - Times of India,"...mar, around 15 teams after roaming in the district collected 19 samples of cheese, mawa, papad, besan, maida, rice bran oil, mixed milk and sweets from 4 vendors. Singh said raids were conducted in compliance with the orders of c..."
bulk cooking oil,risky_overlap_with_positive_keyword,oil/product,manual_review,0.117487,26,47,0,cooking oil,Indonesia to ban palm oil exports to curb domestic prices - BusinessToday,"...recent days over high cooking oil prices. Indonesia's government has set a cap of 14,000 rupiah per litre for bulk cooking oil, but Trade Ministry data showed that it was sold at more than 18,000 rupiah this month. A government investig..."
edible oil prices,risky_overlap_with_positive_keyword,oil/product,manual_review,0.108214,30,41,0,edible oil,Russia-Ukraine war: Vigilance officials raid traders in AP after rise in edible oil prices,"Russia-Ukraine war: Vigilance officials raid traders in AP after rise in edible oil prices Vigilance officials raided traders in Andhra Pradesh after prices of edible oils increased in the state, sinc..."
palm oil export,risky_overlap_with_positive_keyword,oil/product,manual_review,0.106168,28,32,0,palm oil,Palm oil ban: Edible oil industry asks govt to initiate dialogue with Indonesia - BusinessToday,"...has suggested immediate initiation of government to government (G2G) dialogue with Indonesia on the proposed palm oil export ban from April 28 by them as it would have an adverse repercussions in India. Indonesia, which is the world's..."
cooking oil prices,risky_overlap_with_positive_keyword,oil/product,manual_review,0.104667,27,39,0,cooking oil,"Sunflower oil shortage boon for palm oil producers, bane for consumers","...andated a minimum proportion of production to be sold locally in a bid to curtail a dramatic rise in domestic cooking oil prices. Indonesia is the largest producer of oil palm, followed by Malaysia. Despite several attempts made by the Ce..."
palm oil exports,risky_overlap_with_positive_keyword,oil/product,manual_review,0.10415,27,38,0,palm oil,Indonesia to ban palm oil exports to curb domestic prices - BusinessToday,"Indonesia will effectively ban palm oil exports from April 28, until further notice, after President Joko Widodo on Friday announced a halting of shipments o..."
palm oil prices,risky_overlap_with_positive_keyword,oil/product,manual_review,0.102492,24,33,0,palm oil,"Sunflower oil shortage boon for palm oil producers, bane for consumers",New Delhi: Shortage of sunflower oil amid the ongoing Russia-Ukraine war has sent crude palm oil prices through the roof. The geo-political worries in the Black Sea region has a significant bearing on sunflower se...
used cooking oil,risky_overlap_with_positive_keyword,oil/product,manual_review,0.101691,17,36,0,cooking oil,FDA cracks down on shop selling reused cooking oil - Deshdoot,"...seized the cooking oil, which is harmful to health. Traders playing with citizens’ health by repeatedly using used cooking oil have now come under the radar of the Food and Drug Administration. Edible oil is suitable for frying if its T..."
samples,risky_overlap_with_positive_keyword,other_candidate,drop,0.100202,16,33,0,samples of the seized,FDA urges âbigâ hotels to hand over excess edible oil for bio-diesel | Nagpur News - Times of India,"...gn, FDA has inspected 1,131 premises related to food business in the city in the last few months. âAround 881 samples were collected from 1,131 food establishments and sent for testing at the government laboratory. The results..."
ban palm oil,risky_overlap_with_positive_keyword,incident/action phrase,manual_review,0.086753,7,8,0,palm oil,Indonesia to ban palm oil exports to curb domestic prices - BusinessToday,"Indonesia will effectively ban palm oil exports from April 28, until further notice, after President Joko Widodo on Friday announced a halting of shi..."
oil used,risky_overlap_with_positive_keyword,other_candidate,drop,0.085005,5,5,0,oil used in india,FDA cracks down on shop selling reused cooking oil - Deshdoot,"...obesity, and diabetes. FDA officers Vivek Patil and Pramod Patil have taken action and seized samples of the oil used by the baker which is now in the possession of the Reused Cooking Oil (RUCO) organisation. The reused oil has..."
domestic cooking oil,risky_overlap_with_positive_keyword,oil/product,manual_review,0.064629,17,27,0,cooking oil,"Sunflower oil shortage boon for palm oil producers, bane for consumers","...ecently mandated a minimum proportion of production to be sold locally in a bid to curtail a dramatic rise in domestic cooking oil prices. Indonesia is the largest producer of oil palm, followed by Malaysia. Despite several attempts made by..."
oil,do_not_not_exact_positive_kept,other_candidate,manual_review,0.707381,197,2220,1,adulterated coconut oil; adulterated cooking oil; adulterated edible oil; adulterated oil; coconut oil; cooking oil; cooking oils; edible oil; edible oil worth; fake cooking oil; groundnut oil; mustard oil,Patanjali's mustard oil unit in Alwar raided by Rajasthan govt: Report,"...mark on allopathy, it has now been reported that Alwar collectorate officials have raided Patanjali’s mustard oil manufacturer Singhania oil mill. As per a Republic World report, a raid was conducted on the mill on the orde..."
palm oil,do_not_not_exact_positive_kept,oil/product,keep_core,0.395939,107,806,1,palm oil,Blended edible oil beneficial: FSSAI | Today News,"...mt of edible oil, nearly 60% of its total annual domestic consumption. The country primarily imports 8 mt of palm oil, 2.7 mt of soybean oil and 2 mt of sunflower oil. India produces a negligible amount sunflower seeds and sunf..."
cooking oil,do_not_not_exact_positive_kept,oil/product,manual_review,0.249152,85,335,1,adulterated cooking oil; cooking oil; cooking oils; fake cooking oil,Cooking Oil Adulteration: Is your cooking oil adulterated with dangerous metanil yellow colour?,"...is week, they have shared a test video on how to detect the use of a prohibited colour like metanil yellow in cooking oil. Here’s how you can check the adulteration at home. (Image: istock) 1. Take a sample of 1 ml oil in a test tu..."
edible oil,do_not_not_exact_positive_kept,oil/product,manual_review,0.230623,110,265,1,adulterated edible oil; edible oil; edible oil worth,FDA urges âbigâ hotels to hand over excess edible oil for bio-diesel | Nagpur News - Times of India,Nagpur: The Food and Drugs Administration (FDA) has urged eight city hotels â where edible oil consumption is more than 50 litres per day â to hand over their excess edible used oils for bio-diesel recycl...
sunflower oil,do_not_not_exact_positive_kept,oil/product,manual_review,0.15358,57,112,1,sunflower oil,Vig Raids To Check Edible Oil Hoarding | Vijayawada News - Times of India,...Russia-Ukraine conflict. The raids followed complaints of artificial crisis on the pretext that the supply of sunflower oil got disrupted because of the ongoing conflict between Russia and Ukraine. India imports nearly 80 to 90 per c...
food safety,do_not_not_exact_positive_kept,enforcement/evidence,manual_review,0.143505,40,95,1,food safety; food safety department; food safety officer; food safety officers; food safety officials; food safety standards,FDA urges âbigâ hotels to hand over excess edible oil for bio-diesel | Nagpur News - Times of India,...hand over their excess edible used oils for bio-diesel recycling to a designated company empanelled with the Food Safety and Standards Authority of India (FSSAI). FDA sources said the hotels have been asked to ensure their excess...
fssai,do_not_not_exact_positive_kept,enforcement/evidence,manual_review,0.129399,28,88,1,,Cooking Oil Adulteration: Is your cooking oil adulterated with dangerous metanil yellow colour?,"FSSAI is back with its weekly lessons on how to check food adulteration at home. In the long run, adulterated food..."
seized,do_not_not_exact_positive_kept,enforcement/evidence,manual_review,0.125841,28,68,1,oil seized; samples of the seized; seized,Mumbai DRI seizes heroin worth Rs 125 crore hidden in cooking oil cargo,...from Iran Photo for representational purpose The Directorate of Revenue Intelligence's (DRI) Mumbai unit has seized a consignment of 25 kg heroin concealed in a consignment of groundnut oil at the Nhava Port Trust in Navi Mum...
fda,do_not_not_exact_positive_kept,enforcement/evidence,manual_review,0.120277,14,78,1,,FDA urges âbigâ hotels to hand over excess edible oil for bio-diesel | Nagpur News - Times of India,Nagpur: The Food and Drugs Administration (FDA) has urged eight city hotels â where edible oil consumption is more than 50 litres per day â to hand over the...
coconut oil,do_not_not_exact_positive_kept,oil/product,manual_review,0.11856,15,75,1,adulterated coconut oil; coconut oil,Fake Coconut Oil Identity: Signs your coconut oil is fake and how to spot the real one,"As the price of coconut oil continues to surge in the market, especially in the southern region of India, the rising prices have now beco..."
mustard oil,do_not_not_exact_positive_kept,oil/product,manual_review,0.116847,18,72,1,mustard oil,Patanjali's mustard oil unit in Alwar raided by Rajasthan govt: Report,"...ter’s remark on allopathy, it has now been reported that Alwar collectorate officials have raided Patanjali’s mustard oil manufacturer Singhania oil mill. As per a Republic World report, a raid was conducted on the mill on the orde..."
soybean oil,do_not_not_exact_positive_kept,oil/product,manual_review,0.105204,30,37,1,soybean oil,Blended edible oil beneficial: FSSAI | Today News,"...early 60% of its total annual domestic consumption. The country primarily imports 8 mt of palm oil, 2.7 mt of soybean oil and 2 mt of sunflower oil. India produces a negligible amount sunflower seeds and sunflower oil against its c..."
raids,do_not_not_exact_positive_kept,enforcement/evidence,drop,0.064837,12,28,1,,Vig Raids To Check Edible Oil Hoarding | Vijayawada News - Times of India,"...a view to controlling the price of palmolein oil, other edible oils, oilseeds, and pulses in market, surprise raids were carried out on 126 wholesale and retail traders, supermarkets, and manufacturing units by vigilance & en..."
