corpus,food_pool,cause,cause_role,effect,triplet_rows,distinct_sources,mean_confidence,example_url,example_evidence
News,Ghee,palm oil family,adulterant,harmful for health,1,1,0.8,https://timesofindia.indiatimes.com/city/patna/over-500kg-adulterated-paneer-seized-by-food-safety-and-drug-administration/articleshow/118985802.cms,"palm oil, which can be harmful for health"
News,Ghee,ghee,adulterant,harmful for health,1,1,0.8,https://timesofindia.indiatimes.com/city/patna/over-500kg-adulterated-paneer-seized-by-food-safety-and-drug-administration/articleshow/118985802.cms,"fats like ghee or palm oil, which can be harmful for health"
News,Ghee,adulterated tea,adulterant,harmful for health,1,1,0.9,https://www.newindianexpress.com/states/odisha/2021/jan/06/police-bust-fake-tea-manufacturing-unit-in-cuttack-45-quintals-seized-2246301.html,consumption of adulterated tea is harmful for health
News,Ghee,milk powder,adulterant,poison,1,1,0.85,https://www.dnaindia.com/analysis/report-dna-tv-show-uncovering-mafia-of-fake-diwali-sweets-that-can-poison-your-family-sourabh-raaj-jain-3067817,This mixture of low-quality milk powder is extremely harmful to your health and can prove to be poison if ingested in large quantities.
News,Ghee,milk powder,adulterant,harmful to health,1,1,0.85,https://www.dnaindia.com/analysis/report-dna-tv-show-uncovering-mafia-of-fake-diwali-sweets-that-can-poison-your-family-sourabh-raaj-jain-3067817,This mixture of low-quality milk powder is extremely harmful to your health
News,Ghee,adulterated ghee,adulterant,vomiting,1,1,0.85,https://www.freepressjournal.in/bhopal/bhandara-turns-nightmare-250-villagers-fall-ill-after-eating-halwa-made-with-adulterated-ghee-in-mps-shivpuri,villagers began complaining of vomiting
News,Ghee,contaminated fats,adulterant,allergic reaction,1,1,0.85,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/what-happens-if-you-apply-ghee-on-your-navel-shocking-side-effects/articleshow/124287760.cms,trigger allergic reactions
News,Ghee,contaminated fats,adulterant,localized inflammation,1,1,0.85,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/what-happens-if-you-apply-ghee-on-your-navel-shocking-side-effects/articleshow/124287760.cms,skin absorption of contaminated fats can lead to localized inflammation
News,Ghee,contaminated ghee,adulterant,localized infection,1,1,0.9,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/what-happens-if-you-apply-ghee-on-your-navel-shocking-side-effects/articleshow/124287760.cms,Applying contaminated fats to the skin can increase the risk of localized infection
News,Ghee,ghee,other,allergic reaction,1,1,0.9,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/what-happens-if-you-apply-ghee-on-your-navel-shocking-side-effects/articleshow/124287760.cms,Even pure ghee can trigger allergic reactions in some individuals
News,Ghee,cheap oils,adulterant,serious health risk,1,1,0.8,https://economictimes.indiatimes.com/news/new-updates/hyderabad-fake-ghee-raid-how-3000-kg-of-cow-buffalo-cream-were-mixed-with-cheap-substances-and-supplied-to-public/articleshow/129141501.cms,"pose a serious health risk, as they contain cheap oils"
News,Ghee,adulterated products,other,serious health problems,1,1,0.85,https://economictimes.indiatimes.com/news/new-updates/hyderabad-fake-ghee-raid-how-3000-kg-of-cow-buffalo-cream-were-mixed-with-cheap-substances-and-supplied-to-public/articleshow/129141501.cms,Adulterated products not only mislead consumers but can also lead to serious health problems
News,Ghee,adulterated food,other,diarrhoea,1,1,0.9,https://www.thehansindia.com/telangana/karimnagar-adulterated-food-a-major-concern-882194,"Adulteration causes diarrhoea, stomach ache and joint pain"
News,Ghee,adulterated food,other,joint pain,1,1,0.9,https://www.thehansindia.com/telangana/karimnagar-adulterated-food-a-major-concern-882194,"Adulteration causes diarrhoea, stomach ache and joint pain"
News,Ghee,adulterated food,other,ulcers,1,1,0.85,https://www.thehansindia.com/telangana/karimnagar-adulterated-food-a-major-concern-882194,Damage to the digestive tract can cause ulcers
News,Ghee,adulterated food,other,skin rashes,1,1,0.85,https://www.thehansindia.com/telangana/karimnagar-adulterated-food-a-major-concern-882194,Rashes and spots can occur on the skin due to adulterated food
News,Ghee,starch,adulterant,allergic reaction,1,1,0.85,https://timesofindia.indiatimes.com/life-style/food-news/fake-mithai-alert-how-to-test-your-diwali-sweets-at-home-for-safety/articleshow/124693105.cms,"adulterants like starch, artificial dyes, or metallic powders that can cause allergies"
News,Ghee,artificial dyes,adulterant,nausea,1,1,0.85,https://timesofindia.indiatimes.com/life-style/food-news/fake-mithai-alert-how-to-test-your-diwali-sweets-at-home-for-safety/articleshow/124693105.cms,"adulterants like starch, artificial dyes, or metallic powders that can cause allergies, nausea"
News,Ghee,metallic powders,adulterant,organ damage,1,1,0.85,https://timesofindia.indiatimes.com/life-style/food-news/fake-mithai-alert-how-to-test-your-diwali-sweets-at-home-for-safety/articleshow/124693105.cms,"adulterants like starch, artificial dyes, or metallic powders that can cause allergies, nausea, and even organ damage"
News,Ghee,detergent,adulterant,serious health risks,1,1,0.8,https://timesofindia.indiatimes.com/life-style/food-news/fake-mithai-alert-how-to-test-your-diwali-sweets-at-home-for-safety/articleshow/124693105.cms,"detergent, a harmful adulterant that poses serious health risks"
News,Ghee,aluminium foil,adulterant,digestive irritation,1,1,0.9,https://timesofindia.indiatimes.com/life-style/food-news/fake-mithai-alert-how-to-test-your-diwali-sweets-at-home-for-safety/articleshow/124693105.cms,Avoid eating mithai with aluminium coating as it can cause digestive irritation
News,Ghee,artificial dye,adulterant,rashes,1,1,0.9,https://timesofindia.indiatimes.com/life-style/food-news/fake-mithai-alert-how-to-test-your-diwali-sweets-at-home-for-safety/articleshow/124693105.cms,Artificial colours can trigger rashes
News,Ghee,artificial dye,adulterant,hyperactivity in children,1,1,0.9,https://timesofindia.indiatimes.com/life-style/food-news/fake-mithai-alert-how-to-test-your-diwali-sweets-at-home-for-safety/articleshow/124693105.cms,"Artificial colours can trigger rashes, hyperactivity in children"
News,Ghee,mithai,other,gastrointestinal illness,1,1,0.8,https://timesofindia.indiatimes.com/life-style/food-news/fake-mithai-alert-how-to-test-your-diwali-sweets-at-home-for-safety/articleshow/124693105.cms,Adulterated sweets can cause digestive issues
News,Ghee,mithai,other,food poisoning,1,1,0.8,https://timesofindia.indiatimes.com/life-style/food-news/fake-mithai-alert-how-to-test-your-diwali-sweets-at-home-for-safety/articleshow/124693105.cms,Adulterated sweets can cause ... food poisoning
News,Ghee,mithai,other,allergic reaction,1,1,0.8,https://timesofindia.indiatimes.com/life-style/food-news/fake-mithai-alert-how-to-test-your-diwali-sweets-at-home-for-safety/articleshow/124693105.cms,Adulterated sweets can cause ... allergic reactions
News,Ghee,unknown contaminant,adulterant,renal failure,1,1,0.9,https://www.thehansindia.com/hans/opinion/news-analysis/adulterated-milk-spells-death-can-no-longer-be-ignored-1055769,Nine people died of acute renal failure
News,Ghee,milk adulterants,adulterant,gastrointestinal disorders,1,1,0.9,https://www.thehansindia.com/hans/opinion/news-analysis/adulterated-milk-spells-death-can-no-longer-be-ignored-1055769,such adulterants can cause gastrointestinal disorders
News,Ghee,dairy ghee,other,cardiovascular disease,1,1,0.8,https://indianexpress.com/article/lifestyle/health-specials/ghee-coconut-oil-mustard-oil-control-fat-diabetes-8081554/,daily intake of even 1-2 teaspoons increases heart attack risk
News,Ghee,dairy ghee,other,kidney damage,1,1,0.75,https://indianexpress.com/article/lifestyle/health-specials/ghee-coconut-oil-mustard-oil-control-fat-diabetes-8081554/,ghee increases the risk of kidney damage
News,Ghee,saturated fats,adulterant,liver shrinkage,1,1,0.8,https://indianexpress.com/article/lifestyle/health-specials/ghee-coconut-oil-mustard-oil-control-fat-diabetes-8081554/,All saturated fats get deposited in the liver causing its shrinkage
News,Ghee,trans fatty acids,adulterant,pancreas damage,1,1,0.8,https://indianexpress.com/article/lifestyle/health-specials/ghee-coconut-oil-mustard-oil-control-fat-diabetes-8081554/,"injurious to the heart, liver, pancreas"
News,Ghee,adulterants in mithai,adulterant,gastrointestinal illness,1,1,0.85,https://www.financialexpress.com/life/lifestyle-worried-about-adulterated-diwali-sweets-dietitian-on-how-to-recognise-fake-khoya-4011313/,"Adulterants in mithai, depending on what they are, could cause digestive issues"
News,Ghee,adulterants in mithai,adulterant,allergic reaction,1,1,0.85,https://www.financialexpress.com/life/lifestyle-worried-about-adulterated-diwali-sweets-dietitian-on-how-to-recognise-fake-khoya-4011313/,"Adulterants in mithai, depending on what they are, could cause digestive issues, allergic reactions"
News,Ghee,adulterants in mithai,adulterant,cancer/carcinogenicity,1,1,0.85,https://www.financialexpress.com/life/lifestyle-worried-about-adulterated-diwali-sweets-dietitian-on-how-to-recognise-fake-khoya-4011313/,Adulterants in mithai... could... increase the risk of diseases like cancer
News,Ghee,adulteration in mawa or khoya,other,gastrointestinal illness,1,1,0.85,https://www.financialexpress.com/life/lifestyle-worried-about-adulterated-diwali-sweets-dietitian-on-how-to-recognise-fake-khoya-4011313/,Adulteration in mawa or khoya... can cause major digestive issues
News,Ghee,unknown adulterant,adulterant,acute renal dysfunction,1,1,0.8,https://www.indiatoday.in/india/andhra-pradesh/story/andhra-pradesh-east-godavari-milk-contamination-death-telangana-rajamahendravaram-2880782-2026-03-12,acute renal dysfunction requiring dialysis
News,Ghee,unknown adulterant,adulterant,anuria,1,1,0.8,https://www.indiatoday.in/india/andhra-pradesh/story/andhra-pradesh-east-godavari-milk-contamination-death-telangana-rajamahendravaram-2880782-2026-03-12,symptoms including anuria
News,Ghee,dioxane,adulterant,cancer/carcinogenicity,1,1,0.9,https://timesofindia.indiatimes.com/city/agra/detergent-found-in-milk-animal-fat-in-ghee/articleshow/91801919.cms,"dioxane, which is known to be a carcinogenic (cancer-causing) agent"
News,Ghee,hazardous chemicals,adulterant,detrimental effects on health,1,1,0.8,https://timesofindia.indiatimes.com/city/jaipur/2-5k-litre-of-spurious-ghee-seized-in-pali/articleshow/107572083.cms,"hazardous chemicals, posing potential detrimental effects on health"
News,Ghee,adulteration process,other,serious health risk,1,1,0.85,https://indianexpress.com/article/cities/delhi/fake-ghee-racket-busted-in-delhi-6-held-in-festive-season-crackdown-10284942/,This crude and hazardous process not only deceived consumers but posed a serious health risk
News,Ghee,nausea,other,fflo acuteeffect,1,1,0.65,https://frontline.thehindu.com/the-nation/food-adulteration-diwali-crisis-contamination-spices-india-diseases-fssai/article70208651.ece,"Minor symptoms like nausea, stomach pain, or diarrhoea"
News,Ghee,ethylene oxide,adulterant,cancer/carcinogenicity,1,1,0.95,https://frontline.thehindu.com/the-nation/food-adulteration-diwali-crisis-contamination-spices-india-diseases-fssai/article70208651.ece,"ethylene oxide, a known carcinogen"
News,Ghee,toxic chemicals,adulterant,health problems,1,1,0.8,https://timesofindia.indiatimes.com/city/jaipur/spurious-ghee-racket-busted-in-city-1-arrested/articleshow/102689895.cms,toxic chemicals that could potentially result in health problems
News,Ghee,formalin/formaldehyde,adulterant,gastrointestinal toxicity,1,1,0.95,https://www.newindianexpress.com/cities/delhi/2025/Oct/18/police-seize-over-6800-units-of-fake-desi-ghee-sweets-across-delhi,"known to cause severe health issues, including ... gastrointestinal toxicity"
News,Ghee,formalin/formaldehyde,adulterant,allergic reaction,1,1,0.95,https://www.newindianexpress.com/cities/delhi/2025/Oct/18/police-seize-over-6800-units-of-fake-desi-ghee-sweets-across-delhi,"known to cause severe health issues, including ... allergic reactions"
News,Ghee,formalin/formaldehyde,adulterant,respiratory problems,1,1,0.95,https://www.newindianexpress.com/cities/delhi/2025/Oct/18/police-seize-over-6800-units-of-fake-desi-ghee-sweets-across-delhi,"known to cause severe health issues, including ... respiratory problems"
News,Ghee,long term health complications,other,fflo chroniceffect,1,1,0.75,https://economictimes.indiatimes.com/news/new-updates/1400-kg-fake-khoya-400-kilo-expired-ghee-and-paneer-seized-by-fssai-before-holi/articleshow/128938525.cms,long-term health complications
News,Ghee,stale cooking oil,adulterant,long term health issues,1,1,0.85,https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,Long-term health issues due to repeated consumption of reused oil
News,Ghee,raspberry red,adulterant,allergic reaction,1,1,0.85,https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,Allergic reactions and toxicity due to artificial food colours
News,Ghee,artificial food colours,adulterant,gastrointestinal infections,1,1,0.85,https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,Allergic reactions and toxicity due to artificial food colours
News,Ghee,reused oil,adulterant,serious illnesses affecting the liver,1,1,0.85,https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,Long-term health issues due to repeated consumption of reused oil
News,Ghee,palm oil family,adulterant,cardiovascular disease,1,1,0.9,https://timesofindia.indiatimes.com/life-style/food-news/mustard-oil-adulterated-with-heart-unhealthy-palm-oil-3-simple-tests-to-find-out/photostory/120931401.cms,"adulterated with cheap palm oil, which helps increase LDL bad cholesterol and cause heart attack"
News,Ghee,palm oil family,adulterant,cancer/carcinogenicity,1,1,0.85,https://timesofindia.indiatimes.com/life-style/food-news/mustard-oil-adulterated-with-heart-unhealthy-palm-oil-3-simple-tests-to-find-out/photostory/120931401.cms,"palm oil are also added to mustard oil, which can cause severe health issues including cancer"
News,Ghee,glycidol,adulterant,cancer/carcinogenicity,1,1,0.85,https://timesofindia.indiatimes.com/life-style/food-news/mustard-oil-adulterated-with-heart-unhealthy-palm-oil-3-simple-tests-to-find-out/photostory/120931401.cms,"formation of harmful compounds like glycidol, a possible carcinogen"
News,Ghee,palm oil family,adulterant,health harm,1,1,0.75,https://timesofindia.indiatimes.com/city/ahmedabad/1300kg-of-cream-seized-unit-sealed/articleshow/119723566.cms,Such adulteration can harm health
News,Ghee,lethal chemicals,adulterant,adverse human health effects,1,1,0.8,https://www.thehindu.com/news/national/andhra-pradesh/ghee-adulteration-issue-ttd-chairman-seeks-deeper-sit-probe-into-money-trail/article70570737.ece,lethal chemicals that could adversely affect human health
News,Ghee,reprocessed oils,adulterant,cancer/carcinogenicity,1,1,0.9,https://timesofindia.indiatimes.com/city/vijayawada/fssai-experts-warn-of-adulterated-biryani/articleshow/87229905.cms,reprocessed oils which are carcinogenic
News,Ghee,reprocessed oils,adulterant,digestive system damage,1,1,0.85,https://timesofindia.indiatimes.com/city/vijayawada/fssai-experts-warn-of-adulterated-biryani/articleshow/87229905.cms,Most of these ingredients are carcinogenic in nature and also damage the digestive system
News,Ghee,trans fats,adulterant,strokes,1,1,0.85,https://economictimes.indiatimes.com/magazines/panache/olive-mustard-ghee-or-coconut-oil-gurgaon-doctor-explains-which-oil-to-use-and-avoid-one-that-costs-5-lakh-lives-a-year/articleshow/125295490.cms,"eliminating these trans fats could save up to 5,00,000 lives every year by reducing heart attacks and strokes"
News,Ghee,nitrofurans,adulterant,cancer/carcinogenicity,1,1,0.8,https://timesofindia.indiatimes.com/life-style/food-news/poor-quality-eggs-being-sold-online-fssai-seeks-detailed-explanation-from-e-commerce-and-how-it-is-going-to-help-customers/articleshow/131148889.cms,potentially cancerâlinked substance
News,Ghee,ammonium carbonate,adulterant,adversely affects the metabolism,1,1,0.9,https://timesofindia.indiatimes.com/city/jaipur/rcdf-starts-facility-to-test-milk-ghee-and-other-dairy-products/articleshow/120290200.cms,it adversely affects the metabolism
News,Ghee,individuals involved in the illegal production,other,endangering public health,1,1,0.85,https://timesofindia.indiatimes.com/city/ludhiana/festive-season-taste-spoled-repeat-offenders-held-in-ludhianas-ghee-sting-/articleshow/124348026.cms,these persons had been endangering public health repeatedly
News,Ghee,adulterated ingredients,adulterant,public health threat,1,1,0.7,https://timesofindia.indiatimes.com/city/ludhiana/festive-season-taste-spoled-repeat-offenders-held-in-ludhianas-ghee-sting-/articleshow/124348026.cms,serious public health threat posed by consuming food products made with adulterated ingredients
News,Ghee,wood powder,adulterant,obstruction in the intestine,1,1,0.9,https://www.newindianexpress.com/states/odisha/2021/jan/08/poison-on-the-plate-markets-see-rise-in-fake-food-products-2247212.html,mixing wood powder and can cause obstruction in the intestine
News,Ghee,chemicals in food products,adulterant,cancer/carcinogenicity,1,1,0.9,https://www.newindianexpress.com/states/odisha/2021/jan/08/poison-on-the-plate-markets-see-rise-in-fake-food-products-2247212.html,chemicals in food products can cause cancer
News,Ghee,chemicals in food products,adulterant,gastrointestinal illness,1,1,0.9,https://www.newindianexpress.com/states/odisha/2021/jan/08/poison-on-the-plate-markets-see-rise-in-fake-food-products-2247212.html,"chemicals in food products can cause cancer, gastroenteritis"
News,Ghee,chemicals in food products,adulterant,liver diseases,1,1,0.9,https://www.newindianexpress.com/states/odisha/2021/jan/08/poison-on-the-plate-markets-see-rise-in-fake-food-products-2247212.html,"chemicals in food products can cause cancer, gastroenteritis, liver and skin diseases"
News,Ghee,chemicals in food products,adulterant,skin diseases,1,1,0.9,https://www.newindianexpress.com/states/odisha/2021/jan/08/poison-on-the-plate-markets-see-rise-in-fake-food-products-2247212.html,"chemicals in food products can cause cancer, gastroenteritis, liver and skin diseases"
News,Ghee,adulterants in ghee,adulterant,high cholesterol levels,1,1,0.85,https://timesofindia.indiatimes.com/city/hyderabad/shocking-test-results-1-in-5-ghee-samples-found-impure-in-hyderabad/articleshow/113715846.cms,The presence of adulterants in ghee causes digestive problems
News,Ghee,ghee,other,elevated blood pressure,1,1,0.8,https://timesofindia.indiatimes.com/city/hyderabad/shocking-test-results-1-in-5-ghee-samples-found-impure-in-hyderabad/articleshow/113715846.cms,consumption of adulterated ghee... contributes to various health issues such as... elevated blood pressure
News,Ghee,adulterants in ghee,adulterant,bloating,1,1,0.85,https://timesofindia.indiatimes.com/city/hyderabad/shocking-test-results-1-in-5-ghee-samples-found-impure-in-hyderabad/articleshow/113715846.cms,"presence of adulterants in ghee causes digestive problems, including bloating"
News,Ghee,adulterants in ghee,adulterant,stomach discomfort,1,1,0.85,https://timesofindia.indiatimes.com/city/hyderabad/shocking-test-results-1-in-5-ghee-samples-found-impure-in-hyderabad/articleshow/113715846.cms,"The presence of adulterants in ghee causes digestive problems, including bloating and stomach discomfort."
News,Ghee,ghee,other,chronic inflammation,1,1,0.8,https://timesofindia.indiatimes.com/city/hyderabad/shocking-test-results-1-in-5-ghee-samples-found-impure-in-hyderabad/articleshow/113715846.cms,Regular consumption of adulterated ghee... leading to chronic inflammation
News,Ghee,ghee,other,oxidative stress,1,1,0.8,https://timesofindia.indiatimes.com/city/hyderabad/shocking-test-results-1-in-5-ghee-samples-found-impure-in-hyderabad/articleshow/113715846.cms,Regular consumption of adulterated ghee... leading to... oxidative stress
News,Ghee,ghee,other,cardiovascular disease,1,1,0.8,https://timesofindia.indiatimes.com/city/hyderabad/shocking-test-results-1-in-5-ghee-samples-found-impure-in-hyderabad/articleshow/113715846.cms,consumers will be at risk of cardiovascular disease... in the long term
News,Ghee,cholera like symptoms,other,acuteeffect,1,1,0.8,https://www.freepressjournal.in/indore/raid-uncovers-3k-litres-ghee-made-using-animal-fat-in-madhya-pradeshs-khandwa-2-held,"Health problems, including cholera-like symptoms, have been reported"
News,Ghee,ghee,other,raised ldl cholesterol,1,1,0.85,https://www.indiatoday.in/health/story/desi-ghee-demand-sees-a-surge-but-heres-what-nutritionists-want-you-to-know-2810309-2025-10-29?utm_source=rss,It can raise LDL (bad cholesterol) if consumed in excess
News,Ghee,adulterated ghee,adulterant,health risks,1,1,0.85,https://www.newindianexpress.com/states/andhra-pradesh/2024/Sep/26/ttd-complaint-on-ar-dairy-for-allegedly-supplying-adulterated-ghee,"Adulterated ghee not only compromises taste, but can also pose serious health risks to devotees"
News,Ghee,saturated fats,adulterant,atherosclerosis,1,1,0.85,https://timesofindia.indiatimes.com/life-style/food-news/is-daily-ghee-consumption-harmful-know-its-side-effects-and-who-should-avoid-it/articleshow/122851491.cms,increasing the risk of atherosclerosis
News,Ghee,saturated fats,adulterant,strokes,1,1,0.85,https://timesofindia.indiatimes.com/life-style/food-news/is-daily-ghee-consumption-harmful-know-its-side-effects-and-who-should-avoid-it/articleshow/122851491.cms,increasing the risk of... strokes
News,Ghee,saturated fats,adulterant,weight gain,1,1,0.8,https://timesofindia.indiatimes.com/life-style/food-news/is-daily-ghee-consumption-harmful-know-its-side-effects-and-who-should-avoid-it/articleshow/122851491.cms,regular overuse can lead to problems like weight gain
News,Ghee,ghee,other,metabolic syndrome,1,1,0.85,https://timesofindia.indiatimes.com/life-style/food-news/is-daily-ghee-consumption-harmful-know-its-side-effects-and-who-should-avoid-it/articleshow/122851491.cms,associated disorders like metabolic syndrome
News,Ghee,imbalance in gut microbiome,other,gastrointestinal illness,1,1,0.8,https://timesofindia.indiatimes.com/life-style/food-news/is-daily-ghee-consumption-harmful-know-its-side-effects-and-who-should-avoid-it/articleshow/122851491.cms,potentially leading to digestive issues
News,Ghee,imbalance in gut microbiome,other,weakened immunity,1,1,0.8,https://timesofindia.indiatimes.com/life-style/food-news/is-daily-ghee-consumption-harmful-know-its-side-effects-and-who-should-avoid-it/articleshow/122851491.cms,potentially leading to ... weakened immunity
News,Ghee,ghee,other,gastrointestinal illness,1,1,0.85,https://timesofindia.indiatimes.com/life-style/food-news/is-daily-ghee-consumption-harmful-know-its-side-effects-and-who-should-avoid-it/articleshow/122851491.cms,"Eating too much ghee can disrupt the balance of good bacteria in the gut, potentially leading to digestive issues"
News,Ghee,sodium benzoate,adulterant,cancer/carcinogenicity,1,1,0.75,https://www.thehansindia.com/telangana/hyderabad-turning-into-capital-of-adulterated-food-1063581,flagged as a potential carcinogenic ingredient
News,Ghee,sorbic acid,adulterant,cancer/carcinogenicity,1,1,0.75,https://www.thehansindia.com/telangana/hyderabad-turning-into-capital-of-adulterated-food-1063581,flagged as a potential carcinogenic ingredient
News,Ghee,chemicals,adulterant,public health risks,1,1,0.8,https://www.siasat.com/ttd-chief-rejects-ysrcps-clean-chit-claim-in-laddu-ghee-scam-3334108/,"chemicals found in the adulterated ghee were highly dangerous, posing risks to public health"
News,Ghee,fake mawa,other,fall sick,1,1,0.85,https://www.freepressjournal.in/bhopal/beware-before-buying-raksha-bandhan-sweets-over-400-places-making-adulterated-mawa-in-madhya-pradesh-check-how-to-test-real-vs-fake,Many people who eat sweets made from this fake mawa fall sick
News,Ghee,starch,adulterant,stomach pain and loose motions,1,1,0.85,https://www.freepressjournal.in/bhopal/beware-before-buying-raksha-bandhan-sweets-over-400-places-making-adulterated-mawa-in-madhya-pradesh-check-how-to-test-real-vs-fake,"To increase weight, starch and synthetic materials are added. Health risks of fake mawa Food poisoning Stomach pain and loose motions"
News,Ghee,hydrogenated fats,adulterant,clogs arteries,1,1,0.8,https://timesofindia.indiatimes.com/life-style/food-news/fake-desi-ghee-factory-busted-in-punjab-how-exactly-is-fake-ghee-made-and-how-to-spot-it/articleshow/124737410.cms,"it clogs arteries, raises bad cholesterol, and can damage the liver"
News,Ghee,hydrogenated fats,adulterant,raises bad cholesterol,1,1,0.8,https://timesofindia.indiatimes.com/life-style/food-news/fake-desi-ghee-factory-busted-in-punjab-how-exactly-is-fake-ghee-made-and-how-to-spot-it/articleshow/124737410.cms,"it clogs arteries, raises bad cholesterol, and can damage the liver"
News,Ghee,reusing frying oil,other,harmful effects on health,1,1,0.85,https://indianexpress.com/article/cities/mumbai/fda-intensifies-action-on-unsafe-festive-food-helpline-open-for-public-complaints-9635302/,Reusing oil can result in harmful effects on health
News,Ghee,dairy products,other,serious health risks,1,1,0.75,https://economictimes.indiatimes.com/news/new-updates/whats-on-your-plate-hyderabad-over-3800-kg-of-fake-paneer-927-kg-khoa-249-kg-cream-seized-just-days-after-3000-kg-ghee-scam/articleshow/129674525.cms,consumption of such contaminated or fake dairy products can pose serious health risks
News,Ghee,total polar compounds,adulterant,cancer/carcinogenicity,1,1,0.9,https://www.thehindu.com/news/national/andhra-pradesh/food-safety-officers-find-hygiene-violations-at-bakeries-in-vijayawada/article69089538.ece,"high 'total polar compounds' in the oil, which can cause cancer"
News,Milk,death,other,acuteeffect,1,1,0.9,https://indianexpress.com/article/cities/mumbai/woman-dies-after-eating-maggi-she-accidentally-put-tomato-rat-poison-8057803/,died after consuming rat poison
News,Milk,ethylene glycol,adulterant,kidney related problems,1,1,0.9,https://www.thehansindia.com/andhra-pradesh/nhrc-takes-serious-view-of-rights-violations-1059941,"Investigations revealed that the milk was contaminated with ethylene glycol, a highly toxic industrial chemical. The victims included vulnerable groups such as children and senior citizens. As per official records, 20 people were admitted to various hospitals with Anuria and kidney-related problems."
News,Milk,contaminated milk,adulterant,renal failure,1,1,0.85,https://www.en.etemaaddaily.com/world/national/suspected-contaminated-milk-kills-woman-in-kakinada-hospitalizes-10:190223,caused by the consumption of contaminated milk
News,Milk,methanol,adulterant,food poisoning,1,1,0.95,https://timesofindia.indiatimes.com/times-special/pure-milk-protein-shakes-how-dry-bihar-gets-its-high/articleshow/130621720.cms,hundreds have died from methanol poisoning
News,Milk,hydrogen sulphide,adulterant,fast unconsciousness,1,1,0.9,https://www.tribuneindia.com/news/punjab/ludhiana-gas-leak-night-long-efforts-undertaken-to-decontaminate-affected-area-says-official-503751,can lead to fast unconsciousness and death
News,Milk,e coli,adulterant,kidney damage,1,1,0.9,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/7-foods-that-can-put-you-at-risk-of-e-coli/articleshow/115495008.cms,"strains, like those that produce Shiga toxin, can cause serious illness, including kidney damage"
News,Milk,shiga toxin producing e coli,adulterant,kidney damage,1,1,0.9,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/7-foods-that-can-put-you-at-risk-of-e-coli/articleshow/115495008.cms,"some strains, like those that produce Shiga toxin, can cause serious illness, including kidney damage"
News,Milk,escherichia coli,adulterant,gastrointestinal illness,1,1,0.85,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/7-foods-that-can-put-you-at-risk-of-e-coli/articleshow/115495008.cms,Many strains of E coli can cause diarrheagenic infections in your GI tract
News,Milk,e coli,adulterant,hemolytic uremic syndrome,1,1,0.95,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/7-foods-that-can-put-you-at-risk-of-e-coli/articleshow/115495008.cms,some can develop a serious kidney and blood problem called hemolytic uremic syndrome (HUS)
News,Milk,e coli,adulterant,vomiting,1,1,0.95,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/7-foods-that-can-put-you-at-risk-of-e-coli/articleshow/115495008.cms,"Signs of an E. coli infection include diarrhea, which can be bloody or watery, severe stomach cramps, and vomiting"
News,Milk,e coli,adulterant,low fever,1,1,0.95,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/7-foods-that-can-put-you-at-risk-of-e-coli/articleshow/115495008.cms,Signs of an E. coli infection include ... a low fever
News,Milk,e coli,adulterant,uti,1,1,0.9,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/7-foods-that-can-put-you-at-risk-of-e-coli/articleshow/115495008.cms,"Not wiping properly after going to the bathroom can move E coli from your poop to your urinary tract, causing a UTI"
News,Milk,antimotility agents,adulterant,toxic megacolon,1,1,0.9,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/7-foods-that-can-put-you-at-risk-of-e-coli/articleshow/115495008.cms,Antimotility agents can increase the risk of complications like toxic megacolon
News,Milk,antimotility agents,adulterant,hemolytic uremic syndrome,1,1,0.9,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/7-foods-that-can-put-you-at-risk-of-e-coli/articleshow/115495008.cms,Antimotility agents can increase the risk of complications like ... hemolytic uremic syndrome (HUS)
News,Milk,alpha gal syndrome,other,nausea,1,1,0.9,https://www.newdelhitimes.com/meat-allergy-caused-by-ticks-getting-more-common-in-us-cdc-says/,symptoms including ... nausea
