food,adulterant_or_substitute,news_triplet_rows,news_distinct_articles,mean_model_confidence,confidence_weighted_article_support,fssai_baseline_direct_pair_rows,fssai_baseline_candidate_mentions,fssai_baseline_candidate_method_rows,news_candidate_method_rows,fssai_baseline_method_examples,news_method_examples,news_health_relation_articles,locally_linked_effects,baseline_gap_class,test_coverage_class,priority_score_0_100,priority_interpretation,example_url,example_evidence
fruits,calcium carbide,1,1,0.95,0.95,0,0,0,1,,calcium carbide --detectedby--> LaboratoryTest,3,hazardous to health (2); nausea (1); vomiting (1); gastrointestinal illness (1); diarrhoea (1); neurological effects (1); respiratory tract irritation (1); rashes (1),candidate not represented in FSSAI baseline,method signal occurs in news only,68.99,heuristic discovery rank; not a prevalence or risk estimate,https://www.sentinelassam.com/topheadlines/assam-sample-testing-detects-aggravated-food-adulteration,use of calcium carbide to ripen fruits
namkeen,caustic soda,1,1,0.95,0.95,0,0,0,1,,caustic soda --detectedby--> laboratory test,3,stomach irritation (1); vomiting (1); diarrhoea (1); irritate the digestive tract (1); harmful to human beings (1),candidate not represented in FSSAI baseline,method signal occurs in news only,68.99,heuristic discovery rank; not a prevalence or risk estimate,https://www.freepressjournal.in/indore/ujjain-400-kg-substandard-namkeen-seized,The unit was using caustic soda (Sodium Hydroxide) which is used in manufacturing of detergents
rice cereal,arsenic,1,1,0.95,0.95,0,1,0,5,,Arsenic detection in rice --identifies--> arsenic; arsenic --detectedby--> ICP-MS; Hospital confirmation of arsenic in Shah's blood --identifies--> arsenic; finding of arsenic in Kamalkant Shah's blood --identifies--> arsenic,3,cancer/carcinogenicity (1); death (1); toxicity (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,68.99,heuristic discovery rank; not a prevalence or risk estimate,https://economictimes.indiatimes.com/magazines/panache/how-do-toxic-substances-like-lead-end-up-in-baby-food/articleshow/97399836.cms,concerning levels of arsenic in rice cereal
Paneer,cheese analogue,15,9,0.93,8.5,0,0,0,0,,,1,food poisoning (1),candidate not represented in FSSAI baseline,no candidate-specific method relation represented,68.97,heuristic discovery rank; not a prevalence or risk estimate,https://www.siasat.com/h-fast-seizes-825-kg-of-adulterated-paneer-from-hyderabad-eateries-3491650/,cheese analogue products made from vegetable fats and non-milk ingredients are being sold as paneer
Ghee,lard/pig fat,31,27,0.8839,23.95,0,1,0,4,,Ghee Adulteration Finding --identifies--> lard; lard --detectedby--> lab tests; TTD ghee adulteration finding --identifies--> lard; TDP lab report finding --identifies--> lard,0,,"candidate represented, but food-adulterant relation absent",method signal occurs in news only,68.91,heuristic discovery rank; not a prevalence or risk estimate,https://www.hindustantimes.com/india-news/tirupati-laddu-row-fish-oil-more-expensive-accused-ghee-supplier-refutes-allegations-101726973256605.html,lab tests revealed the presence of animal fat and lard
sweets,synthetic colours,4,4,0.9,3.6,0,0,0,1,,Fake Paneer Incident Finding --identifies--> synthetic colours,2,health problems (1); stomach infections (1); skin infections (1),candidate not represented in FSSAI baseline,method signal occurs in news only,68.18,heuristic discovery rank; not a prevalence or risk estimate,https://www.hindustantimes.com/cities/chandigarh-news/in-chandigarh-failed-food-samples-see-13-surge-in-a-year-101699040063114.html,using high-contrast synthetic colours in sweets
Ghee,acetic acid ester,22,19,0.9045,17.2,0,0,0,0,,,0,,candidate not represented in FSSAI baseline,no candidate-specific method relation represented,67.82,heuristic discovery rank; not a prevalence or risk estimate,https://www.thehindu.com/news/national/andhra-pradesh/cbis-sit-finds-ttd-received-adulterated-ghee-for-over-five-years/article70259867.ece,used acetic acid esters in the final product
Edible/cooking oil,palm oil family,1,1,0.8,0.8,0,21,0,22,,ghee adulteration finding --identifies--> palm oil; palm oil --detectedby--> Raman spectroscopy; palm oil --detectedby--> chromatography; Ghee Adulteration Finding --identifies--> palm oil; finding of palm oil in ghee --identifies--> palm oil,4,harmful for health (1); cardiovascular disease (1); cancer/carcinogenicity (1); health harm (1); increased cholesterol level (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,67.74,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/city/vadodara/dahod-police-bust-major-spurious-cooking-oil-racket-seize-goods-worth-over-rs-15-lakhs/articleshow/116183542.cms,Police suspect palm oil or adulterated oil was being sold under the name of various cooking oil brands.
cough syrup,diethylene glycol,2,2,0.85,1.7,0,0,0,7,,Cofset Finding --identifies--> diethylene glycol; diethylene glycol --detectedby--> tests on other Coldbest bottles; diethylene glycol --detectedby--> gas chromatography; diethylene glycol --detectedby--> thin-layer chromatography; diethylene glycol --detectedby--> low-cost field deployable assays,3,death (2); food poisoning (1); renal failure (1); mobility impairment (1); toxicity (1),candidate not represented in FSSAI baseline,method signal occurs in news only,67.68,heuristic discovery rank; not a prevalence or risk estimate,https://indianexpress.com/article/world/when-children-take-toxic-cough-syrup-and-live-9080098/,broken the ethylene and diethylene glycol down
Ghee,beef tallow,27,24,0.8611,20.75,0,0,0,3,,Ghee Adulteration Finding --identifies--> beef tallow; Tirupati laddu adulteration allegation --identifies--> beef tallow; TDP lab report finding --identifies--> beef tallow,0,,candidate not represented in FSSAI baseline,method signal occurs in news only,67.5,heuristic discovery rank; not a prevalence or risk estimate,https://www.newindianexpress.com/nation/2024/Sep/23/tirupati-laddu-row-fssai-issues-show-cause-notice-to-ghee-supplier-2,"ghee samples used in the Tirupati temple laddus contained palm oil, fish oil, beef tallow, and lard"
eggs,salmonella,2,2,0.9,1.8,0,38,17,1,IS 5887: Part 3 --detectedby--> Salmonella; IS 5887: Part 3 --identifies--> Salmonella; Salmonella --detectedby--> IS 5887: Part 3; Salmonella --detectedby--> ISO 6579; ISO:6579 --detectedby--> Salmonella,Salmonella --detectedby--> microbiological testing facilities,5,salmonellosis (2); acute diarrhoeal illness (1); intestinal infections (1); fever (1); diarrhoea (1),"candidate represented, but food-adulterant relation absent",candidate-specific method relation represented,67.43,heuristic discovery rank; not a prevalence or risk estimate,https://www.dnaindia.com/health/report-zee-media-zara-sochiye-campaign-makes-you-think-about-food-adulteration-not-once-but-twice-3200012,Contamination with Salmonella and E. coli
everest garam masala,salmonella,2,2,0.9,1.8,0,38,17,1,IS 5887: Part 3 --detectedby--> Salmonella; IS 5887: Part 3 --identifies--> Salmonella; Salmonella --detectedby--> IS 5887: Part 3; Salmonella --detectedby--> ISO 6579; ISO:6579 --detectedby--> Salmonella,Salmonella --detectedby--> microbiological testing facilities,5,salmonellosis (2); acute diarrhoeal illness (1); intestinal infections (1); fever (1); diarrhoea (1),"candidate represented, but food-adulterant relation absent",candidate-specific method relation represented,67.43,heuristic discovery rank; not a prevalence or risk estimate,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,Another such recall involved Everest's Garam Masala and Sambhar Masala
maggi masala ae magic,salmonella,2,2,0.9,1.8,0,38,17,1,IS 5887: Part 3 --detectedby--> Salmonella; IS 5887: Part 3 --identifies--> Salmonella; Salmonella --detectedby--> IS 5887: Part 3; Salmonella --detectedby--> ISO 6579; ISO:6579 --detectedby--> Salmonella,Salmonella --detectedby--> microbiological testing facilities,5,salmonellosis (2); acute diarrhoeal illness (1); intestinal infections (1); fever (1); diarrhoea (1),"candidate represented, but food-adulterant relation absent",candidate-specific method relation represented,67.43,heuristic discovery rank; not a prevalence or risk estimate,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,Maggi's Masala-ae-Magic in June last year. Other than being contaminated with Salmonella
sambhar masala,salmonella,2,2,0.9,1.8,0,38,17,1,IS 5887: Part 3 --detectedby--> Salmonella; IS 5887: Part 3 --identifies--> Salmonella; Salmonella --detectedby--> IS 5887: Part 3; Salmonella --detectedby--> ISO 6579; ISO:6579 --detectedby--> Salmonella,Salmonella --detectedby--> microbiological testing facilities,5,salmonellosis (2); acute diarrhoeal illness (1); intestinal infections (1); fever (1); diarrhoea (1),"candidate represented, but food-adulterant relation absent",candidate-specific method relation represented,67.43,heuristic discovery rank; not a prevalence or risk estimate,https://www.thehindu.com/news/national/why-mdh-everest-spices-are-under-international-scrutiny-explained/article68130961.ece,"Another such recall involved Everest's Garam Masala and Sambhar Masala, and Maggi's Masala-ae-Magic in June last year. Other than being contaminated with Salmonella."
drinking water,arsenic,1,1,0.9,0.9,0,1,0,5,,Arsenic detection in rice --identifies--> arsenic; arsenic --detectedby--> ICP-MS; Hospital confirmation of arsenic in Shah's blood --identifies--> arsenic; finding of arsenic in Kamalkant Shah's blood --identifies--> arsenic,3,cancer/carcinogenicity (1); death (1); toxicity (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,67.24,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/city/patna/indore-tragedy-highlights-bihars-alarming-water-contamination-crisis-30000-rural-wards-exposed-to-unsafe-drinking-water/articleshow/126464374.cms,toxic heavy metals such as arsenic
food,arsenic,1,1,0.9,0.9,0,1,0,5,,Arsenic detection in rice --identifies--> arsenic; arsenic --detectedby--> ICP-MS; Hospital confirmation of arsenic in Shah's blood --identifies--> arsenic; finding of arsenic in Kamalkant Shah's blood --identifies--> arsenic,3,cancer/carcinogenicity (1); death (1); toxicity (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,67.24,heuristic discovery rank; not a prevalence or risk estimate,https://www.hindustantimes.com/cities/mumbai-news/police-suspect-duo-may-have-used-similar-method-to-poison-victim-s-mother-seek-medical-report-101670093565184.html,allegedly given thallium and arsenic through food
protein supplements,arsenic,1,1,0.9,0.9,0,1,0,5,,Arsenic detection in rice --identifies--> arsenic; arsenic --detectedby--> ICP-MS; Hospital confirmation of arsenic in Shah's blood --identifies--> arsenic; finding of arsenic in Kamalkant Shah's blood --identifies--> arsenic,3,cancer/carcinogenicity (1); death (1); toxicity (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,67.24,heuristic discovery rank; not a prevalence or risk estimate,https://www.newindianexpress.com/cities/hyderabad/2025/Dec/10/is-your-protein-safe,"Heavy metals including lead, cadmium, arsenic, and mercury are found in many packaged protein supplements"
rice,arsenic,1,1,0.9,0.9,0,1,0,5,,Arsenic detection in rice --identifies--> arsenic; arsenic --detectedby--> ICP-MS; Hospital confirmation of arsenic in Shah's blood --identifies--> arsenic; finding of arsenic in Kamalkant Shah's blood --identifies--> arsenic,3,cancer/carcinogenicity (1); death (1); toxicity (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,67.24,heuristic discovery rank; not a prevalence or risk estimate,https://economictimes.indiatimes.com/magazines/panache/how-do-toxic-substances-like-lead-end-up-in-baby-food/articleshow/97399836.cms,Rice ... is consistently identified in studies as the food with the highest levels of arsenic
syrup,diethylene glycol,1,1,0.9,0.9,0,0,0,7,,Cofset Finding --identifies--> diethylene glycol; diethylene glycol --detectedby--> tests on other Coldbest bottles; diethylene glycol --detectedby--> gas chromatography; diethylene glycol --detectedby--> thin-layer chromatography; diethylene glycol --detectedby--> low-cost field deployable assays,3,death (2); food poisoning (1); renal failure (1); mobility impairment (1); toxicity (1),candidate not represented in FSSAI baseline,method signal occurs in news only,67.24,heuristic discovery rank; not a prevalence or risk estimate,https://indianexpress.com/article/world/when-children-take-toxic-cough-syrup-and-live-9080098/,"products ... contained dangerous levels of EG or a related toxin, diethylene glycol"
tender coconut,arsenic,1,1,0.9,0.9,0,1,0,5,,Arsenic detection in rice --identifies--> arsenic; arsenic --detectedby--> ICP-MS; Hospital confirmation of arsenic in Shah's blood --identifies--> arsenic; finding of arsenic in Kamalkant Shah's blood --identifies--> arsenic,3,cancer/carcinogenicity (1); death (1); toxicity (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,67.24,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/city/mumbai/husband-killer-her-lover-murdered-mom-in-law-too-in-mumbai/articleshow/96013832.cms,"gave her mother-in-law and later her husband a mixture of both substances seven to eight times a day in water, tender cocounut"
Ghee,fish oil,20,19,0.8875,16.9,0,6,0,4,,Ghee Adulteration Finding --identifies--> fish oil; fish oil --detectedby--> smell; fish oil --detectedby--> taste; Tirupati laddu contamination finding --identifies--> fish oil,0,,"candidate represented, but food-adulterant relation absent",method signal occurs in news only,67.22,heuristic discovery rank; not a prevalence or risk estimate,https://www.newindianexpress.com/nation/2024/Sep/23/tirupati-laddu-row-fssai-issues-show-cause-notice-to-ghee-supplier-2,"ghee samples used in the Tirupati temple laddus contained palm oil, fish oil, beef tallow, and lard"
olive oil,denatured rapeseed oil,3,2,0.95,1.9,0,0,0,1,,toxic oil syndrome outbreak of 1981 --identifies--> denatured rapeseed oil,2,toxic oil syndrome (2),candidate not represented in FSSAI baseline,method signal occurs in news only,67.18,heuristic discovery rank; not a prevalence or risk estimate,https://economictimes.indiatimes.com/news/economy/agriculture/olive-oil-price-olive-oil-cooking-food-for-fraud-your-olive-oil-might-be-unfit-for-human-consumption/articleshow/113731643.cms,consumption of denatured rapeseed oil for industrial use that had been illegally sold as olive oil
silver vark,aluminium foil,2,2,0.95,1.9,0,0,0,0,,,2,digestive irritation (2),candidate not represented in FSSAI baseline,no candidate-specific method relation represented,67.18,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/life-style/food-news/fake-mithai-alert-how-to-test-your-diwali-sweets-at-home-for-safety/articleshow/124693105.cms,"That shiny silver leaf on mithai may look festive, but it can be fake."
eggs,e coli,1,1,0.95,0.95,0,4,1,2,IS :14397 --producesindicator--> E.coli,E. coli --detectedby--> microbiological testing facilities; E. coli outbreak linked to salads --identifies--> E. coli,5,diarrhoea (3); gastrointestinal illness (2); stomach pain (2); kidney damage (1); hemolytic uremic syndrome (1); vomiting (1); low fever (1); uti (1),"candidate represented, but food-adulterant relation absent",candidate-specific method relation represented,66.99,heuristic discovery rank; not a prevalence or risk estimate,https://www.dnaindia.com/health/report-zee-media-zara-sochiye-campaign-makes-you-think-about-food-adulteration-not-once-but-twice-3200012,Contamination with Salmonella and E. coli
onions,e coli,1,1,0.95,0.95,0,4,1,2,IS :14397 --producesindicator--> E.coli,E. coli --detectedby--> microbiological testing facilities; E. coli outbreak linked to salads --identifies--> E. coli,5,diarrhoea (3); gastrointestinal illness (2); stomach pain (2); kidney damage (1); hemolytic uremic syndrome (1); vomiting (1); low fever (1); uti (1),"candidate represented, but food-adulterant relation absent",candidate-specific method relation represented,66.99,heuristic discovery rank; not a prevalence or risk estimate,https://thelogicalindian.com/40-kg-rotten-tomatoes-jaipur-mcdonalds-food-safety-breach-raises-questions-over-fast-food-oversight/,contaminated onions
fish,mercury,3,3,0.9,2.7,0,0,0,2,,mercury --detectedby--> civic organisation study; mercury --detectedby--> private study,2,harm to vital organs (1); neurological damage (1),candidate not represented in FSSAI baseline,method signal occurs in news only,66.98,heuristic discovery rank; not a prevalence or risk estimate,https://www.dnaindia.com/health/report-zee-media-zara-sochiye-campaign-makes-you-think-about-food-adulteration-not-once-but-twice-3200012,Presence of heavy metals such as mercury and cadmium
turmeric,lead chromate,5,5,0.95,4.75,0,0,0,1,,lead chromate --detectedby--> water test for turmeric,1,kidney damage (1),candidate not represented in FSSAI baseline,method signal occurs in news only,66.91,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/city/ranchi/fssai-is-working-towards-felicitating-whistle-blowers-who-report-adulteration/articleshow/121853932.cms,"In turmeric, both whole and powdered, lead chromate and rice flour are common adulterants."
Khoya/mawa,milk powder,7,7,0.8929,6.25,0,4,0,1,,milk powder --outputof--> milk powder manufacturing,1,poison (1); harmful to health (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,66.47,heuristic discovery rank; not a prevalence or risk estimate,https://www.dnaindia.com/analysis/report-dna-tv-show-uncovering-mafia-of-fake-diwali-sweets-that-can-poison-your-family-sourabh-raaj-jain-3067817,milk powder is added to making mawa
Ghee,beta carotene,16,15,0.8938,13.45,0,2,0,0,,,0,,"candidate represented, but food-adulterant relation absent",no candidate-specific method relation represented,66.24,heuristic discovery rank; not a prevalence or risk estimate,https://www.thequint.com/news/breaking-news/cbi-finds-no-animal-fat-tirupati-ghee,adulteration involved the use of acetic acid esters and beta carotene to manipulate standard purity tests and mimic the color and flavor of traditional ghee.
Milk,vegetable oil/fat,13,10,0.8923,9.05,0,68,1,22,RP-HPLC --detectedby--> vegetable oil,ghee adulteration finding --identifies--> vegetable fat; IncidentFinding of vegetable oil in ghee --identifies--> vegetable oil/fat; refined vegetable oils --detectedby--> specialized laboratory procedures; vegetable oil --detectedby--> Sugar test; vegetable oils --detectedby--> Baudouin test,3,memory loss (2); gastrointestinal illness (1); cardiovascular problems (1); adverse effects in humans (1); heart lesions (1); liver related issues (1); complications in growth and behavioral development (1); headaches (1),"candidate represented, but food-adulterant relation absent",candidate-specific method relation represented,66.16,heuristic discovery rank; not a prevalence or risk estimate,https://www.newindianexpress.com/nation/2022/nov/17/27-per-cent-samples-of-edible-oil-other-food-items-from-4-firms-in-thane-found-adulterated-fda-2519197.html,vegetable oil was mixed in products claimed to be milk cream
Milk,toxins,1,1,0.75,0.75,0,0,0,0,,,4,food poisoning (2); gastrointestinal illness (1); impacts on animal health (1),candidate not represented in FSSAI baseline,no candidate-specific method relation represented,65.99,heuristic discovery rank; not a prevalence or risk estimate,https://indianexpress.com/article/health-wellness/global-recall-baby-formula-nestle-india-contamination-10461863/,milk sourced from those regions may contain higher levels of toxins
Palm oil,palm oil family,1,1,0.75,0.75,0,21,0,22,,ghee adulteration finding --identifies--> palm oil; palm oil --detectedby--> Raman spectroscopy; palm oil --detectedby--> chromatography; Ghee Adulteration Finding --identifies--> palm oil; finding of palm oil in ghee --identifies--> palm oil,4,harmful for health (1); cardiovascular disease (1); cancer/carcinogenicity (1); health harm (1); increased cholesterol level (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,65.99,heuristic discovery rank; not a prevalence or risk estimate,https://www.hindustantimes.com/cities/pune-news/ensure-quality-prasad-pune-fda-tells-ganpati-mandals-sweet-sellers-101694887549275.html,"stock of adulterated ice cream, skim milk powder, plants, and palm oil were confiscated"
ginger garlic paste,preservatives,1,1,0.75,0.75,0,8,0,2,,pale color --identifies--> preservatives,4,ca colon (2); cardiovascular disease (2),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,65.99,heuristic discovery rank; not a prevalence or risk estimate,https://indianexpress.com/article/lifestyle/health/adulterated-ghee-ginger-garlic-paste-hyderabad-consume-10107480/,It may also contain artificial colours and preservatives to make it appear fresh
soyoil,palm oil family,1,1,0.75,0.75,0,21,0,22,,ghee adulteration finding --identifies--> palm oil; palm oil --detectedby--> Raman spectroscopy; palm oil --detectedby--> chromatography; Ghee Adulteration Finding --identifies--> palm oil; finding of palm oil in ghee --identifies--> palm oil,4,harmful for health (1); cardiovascular disease (1); cancer/carcinogenicity (1); health harm (1); increased cholesterol level (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,65.99,heuristic discovery rank; not a prevalence or risk estimate,https://economictimes.indiatimes.com/small-biz/trade/exports/insights/food-protectionism-ramps-up-as-indonesia-bans-palm-oil-exports/articleshow/91167554.cms,prices of palm and its substitute soyoil soaring
water,bacteria,1,1,0.75,0.75,0,0,0,1,,bacteria --detectedby--> bacteria culture test,4,food poisoning (2); stomach infection (1); diarrhoea (1); food borne illnesses (1); death (1),candidate not represented in FSSAI baseline,method signal occurs in news only,65.99,heuristic discovery rank; not a prevalence or risk estimate,https://indianexpress.com/article/lifestyle/health/doctors-monsoon-ailments-gut-health-constipation-diet-fibre-7424203/,water used to prepare it may contain bacteria
honey,high fructose corn syrup,3,3,0.8667,2.6,0,1,0,0,,,2,increases sugar level in the body (2),"candidate represented, but food-adulterant relation absent",no candidate-specific method relation represented,65.81,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/city/nagpur/experts-sound-note-of-caution-as-fda-finds-52-of-86-honey-samples-adulterated/articleshow/85336798.cms,honey adulteration is done by using synthetic sugar syrups
Milk,e coli,3,2,0.85,1.7,0,4,1,2,IS :14397 --producesindicator--> E.coli,E. coli --detectedby--> microbiological testing facilities; E. coli outbreak linked to salads --identifies--> E. coli,5,diarrhoea (3); gastrointestinal illness (2); stomach pain (2); kidney damage (1); hemolytic uremic syndrome (1); vomiting (1); low fever (1); uti (1),"candidate represented, but food-adulterant relation absent",candidate-specific method relation represented,65.68,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/city/kochi/two-donate-milk-to-gh-breast-milk-bank/articleshow/103725786.cms,Sometimes the presence of e-coli is detected in the milk
Paneer,vegetable oil/fat,14,9,0.8929,8.1,0,68,1,22,RP-HPLC --detectedby--> vegetable oil,ghee adulteration finding --identifies--> vegetable fat; IncidentFinding of vegetable oil in ghee --identifies--> vegetable oil/fat; refined vegetable oils --detectedby--> specialized laboratory procedures; vegetable oil --detectedby--> Sugar test; vegetable oils --detectedby--> Baudouin test,3,memory loss (2); gastrointestinal illness (1); cardiovascular problems (1); adverse effects in humans (1); heart lesions (1); liver related issues (1); complications in growth and behavioral development (1); headaches (1),"candidate represented, but food-adulterant relation absent",candidate-specific method relation represented,65.67,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/city/noida/60-food-samples-collected-from-noida-last-months-fail-quality-test/articleshow/121007869.cms,adulteration with vegetable oil was found in the paneer sample
Milk,hydrogen peroxide,10,9,0.945,8.5,0,2,0,2,,hydrogen peroxide --detectedby--> Milk Testing Kit Mark II; hydrogen peroxide --detectedby--> IIT Madras portable device,0,,"candidate represented, but food-adulterant relation absent",method signal occurs in news only,65.5,heuristic discovery rank; not a prevalence or risk estimate,https://www.thehansindia.com/hans/opinion/news-analysis/adulterated-milk-spells-death-can-no-longer-be-ignored-1055769,dangerous adulterants such as hydrogen peroxide
Edible/cooking oil,reused oil,1,1,0.85,0.85,0,0,0,1,,IncidentFinding at Sri Santosh Foods --identifies--> reused oil,3,serious illnesses affecting the liver (1); cardiovascular risks (1); elevated ldl cholesterol (1); dna damage (1); cardiovascular disease (1),candidate not represented in FSSAI baseline,method signal occurs in news only,65.49,heuristic discovery rank; not a prevalence or risk estimate,https://www.hindustantimes.com/cities/jaipur-news/mcdonalds-india-outlet-gets-regulatory-warning-over-rotten-tomatoes-reused-oil-101770898007296.html,found cooking oil unfit for consumption
Ghee,toxic substances,1,1,0.85,0.85,0,0,0,1,,toxic substances --detectedby--> Equipment to detect toxic substances,3,health risks (1); severe dehydration (1); dizziness (1); headaches (1); blurred vision (1),candidate not represented in FSSAI baseline,method signal occurs in news only,65.49,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/city/hyderabad/40-of-ttd-laddus-sold-between-19-24-prepared-with-toxic-ghee-probe/articleshow/125493821.cms,adulterants included toxic substances
medicinal syrups,diethylene glycol,1,1,0.85,0.85,0,0,0,7,,Cofset Finding --identifies--> diethylene glycol; diethylene glycol --detectedby--> tests on other Coldbest bottles; diethylene glycol --detectedby--> gas chromatography; diethylene glycol --detectedby--> thin-layer chromatography; diethylene glycol --detectedby--> low-cost field deployable assays,3,death (2); food poisoning (1); renal failure (1); mobility impairment (1); toxicity (1),candidate not represented in FSSAI baseline,method signal occurs in news only,65.49,heuristic discovery rank; not a prevalence or risk estimate,https://www.sentinelassam.com/topheadlines/rapid-low-cost-tests-can-help-prevent-child-deaths-from-contaminated-syrups,Rapid screening of ethylene glycol and diethylene glycol in raw materials and medicinal syrups
Ghee,chemical additives,2,2,0.9,1.8,0,0,0,0,,,2,allergic reaction (2),candidate not represented in FSSAI baseline,no candidate-specific method relation represented,65.43,heuristic discovery rank; not a prevalence or risk estimate,https://www.newsx.com/regionals/tirupati-laddu-scam-sit-arrests-delhi-trader-for-supplying-chemicals-used-in-fake-ghee-108361/,adulterated with palm oil and chemical additives
Ghee,trans fatty acids,2,2,0.9,1.8,0,3,0,0,,,2,cardiovascular disease (3); clog arteries (1); hypertension (1); pancreas damage (1),"candidate represented, but food-adulterant relation absent",no candidate-specific method relation represented,65.43,heuristic discovery rank; not a prevalence or risk estimate,https://www.thehindu.com/news/national/after-oils-fssai-caps-transfats-in-foods/article33770655.ece,adulterated ghee which becomes solid at room temperature
mithai,artificial dyes,2,2,0.9,1.8,0,0,0,0,,,2,nausea (1); long term health risks (1),candidate not represented in FSSAI baseline,no candidate-specific method relation represented,65.43,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/life-style/food-news/fake-mithai-alert-how-to-test-your-diwali-sweets-at-home-for-safety/articleshow/124693105.cms,"many shop-bought mithai contain adulterants like starch, artificial dyes"
cool drinks,water,1,1,0.9,0.9,0,335,1,75,Concentrates of fruit nectar --inputto--> physical removal of water,"Water test --producesindicator--> ghee floats; warm water test --producesindicator--> lathering; warm water dissolution test --producesindicator--> milky, cloudy, or frothy water; toor dal water test --producesindicator--> water turns light red; Water test --producesindicator--> ghee sinks",8,death (6); diarrhoea (4); cardiac arrest (2); gastrointestinal illness (1); typhoid fever (1); vomiting (1); sudden collapse (1); illness (1),"candidate represented, but food-adulterant relation absent",candidate-specific method relation represented,65.24,heuristic discovery rank; not a prevalence or risk estimate,https://www.newindianexpress.com/states/karnataka/2025/Mar/30/detergent-powder-in-ice-creams-fda-flags-local-units,using contaminated or non-potable water in ice candies and cool drinks
hamburgers,e coli,1,1,0.9,0.9,0,4,1,2,IS :14397 --producesindicator--> E.coli,E. coli --detectedby--> microbiological testing facilities; E. coli outbreak linked to salads --identifies--> E. coli,5,diarrhoea (3); gastrointestinal illness (2); stomach pain (2); kidney damage (1); hemolytic uremic syndrome (1); vomiting (1); low fever (1); uti (1),"candidate represented, but food-adulterant relation absent",candidate-specific method relation represented,65.24,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/st-louis-county-e-coli-outbreak-lettuce-tests-negative-investigation-continues/articleshow/115606666.cms,"hamburgers, and other meats that are not cooked thoroughly can contain E coli"
honey,water,1,1,0.9,0.9,0,335,1,75,Concentrates of fruit nectar --inputto--> physical removal of water,"Water test --producesindicator--> ghee floats; warm water test --producesindicator--> lathering; warm water dissolution test --producesindicator--> milky, cloudy, or frothy water; toor dal water test --producesindicator--> water turns light red; Water test --producesindicator--> ghee sinks",8,death (6); diarrhoea (4); cardiac arrest (2); gastrointestinal illness (1); typhoid fever (1); vomiting (1); sudden collapse (1); illness (1),"candidate represented, but food-adulterant relation absent",candidate-specific method relation represented,65.24,heuristic discovery rank; not a prevalence or risk estimate,https://www.newindianexpress.com/states/odisha/2021/jan/08/poison-on-the-plate-markets-see-rise-in-fake-food-products-2247212.html,"honey is prepared using water, sugar and chemical colour"
poultry,salmonella,1,1,0.9,0.9,0,38,17,1,IS 5887: Part 3 --detectedby--> Salmonella; IS 5887: Part 3 --identifies--> Salmonella; Salmonella --detectedby--> IS 5887: Part 3; Salmonella --detectedby--> ISO 6579; ISO:6579 --detectedby--> Salmonella,Salmonella --detectedby--> microbiological testing facilities,5,salmonellosis (2); acute diarrhoeal illness (1); intestinal infections (1); fever (1); diarrhoea (1),"candidate represented, but food-adulterant relation absent",candidate-specific method relation represented,65.24,heuristic discovery rank; not a prevalence or risk estimate,https://indianexpress.com/article/lifestyle/food-wine/foodborne-illnesses-contamination-heat-summer-health-diet-india-9385491/,"Contaminated poultry, eggs, and unpasteurized milk products are popular sources"
