keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context
food safety commission,yake,1,0.333333,1,1,0.0,0.962478,0.017857,0.111111,0.293298,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,10,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,"...coconut oil coming from Tamil Nadu were also found to be of low quality. I have taken up the matter with the food safety commission in Tamil Nadu,"" he said. The food safety department has also taken note of the fact that some companies try t..."
fssai,phrase_frequency; tfidf,2,0.666667,5,3,0.338291,0.0,0.089286,0.333333,0.248461,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...d hazardous chemicals. Many establishments were found operating in highly unhygienic conditions without valid FSSAI certification or trade licences. Overall, the police registered 22 cases and busted manufacturing units that..."
raid,phrase_frequency; tfidf,2,0.666667,9,4,0.228286,0.0,0.160714,0.444444,0.237341,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...r district so far. A special team from the Food Safety Department headquarters in Jaipur conducted a surprise raid at a residential property in Lodha Colony, Pokaran, where adulterated ghee and oil were being manufactured an..."
substandard,phrase_frequency; tfidf,2,0.666667,6,3,0.203564,0.0,0.107143,0.333333,0.203985,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,"...tar Pradesh Food Safety and Drug Administration (FSDA) has seized 4,16,494 litres of edible oil of suspect or substandard quality, estimated to be worth approximately Rs 6.43 crore. FSDA has launched an inspection drive to ensure q..."
crackdown,phrase_frequency; tfidf,2,0.666667,4,4,0.10742,0.0,0.071429,0.444444,0.181645,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...alty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown on food adulteration and illegal manufacturing, the Cyberabad Enforcement Wing carried out extensive search o..."
ban,phrase_frequency; tfidf,2,0.666667,5,1,0.21145,0.0,0.089286,0.111111,0.170734,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,10,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,"...In a major drive against adulteration of coconut oil, the office of commissioner of food safety has issued a ban on 45 brands of coconut oil, which were found to be substandard. Food safety commissioner M G Rajamanickam is..."
raids,phrase_frequency; tfidf,2,0.666667,3,2,0.12171,0.0,0.053571,0.222222,0.150634,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...ng units that were preparing ginger-garlic paste using harmful preservatives and fake branding. Following the raids, the police urged citizens to purchase food products only from licensed vendors, to check expiry dates, and t..."
ghee oil,phrase_frequency; tfidf,2,0.666667,0,0,0.229695,0.0,0.0,0.0,0.14706,oil/product,manual_review,food/product term is relevant but not strong enough alone,,,,
banned,phrase_frequency; tfidf,2,0.666667,3,1,0.12687,0.0,0.053571,0.111111,0.135774,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,10,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,"...oticing that these brands of oil were being sold in the market though the food safety designated officers had banned them in some districts. Kera Matha, Kerala Nanma, Venma Pure, Kera Sampoornam, Kera choice, Kera Nalikera Ve..."
vegetable oil,phrase_frequency; tfidf,2,0.666667,3,1,0.118631,0.0,0.053571,0.111111,0.13289,oil/product,manual_review,food/product term is relevant but not strong enough alone,12,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",https://timesofindia.indiatimes.com/city/noida/paneer-adulterated-with-vegetable-oil-fda-collects-samples/articleshow/112664642.cms,"NOIDA: A Greater Noida resident claimed a block of paneer he bought from a local store was laced with vegetable oil â a commonly used as adulterant to keep cottage cheese soft for long. Gaurav Kumar Yadav, a resident of Stel..."
adulterated ghee oil,phrase_frequency; tfidf,2,0.666667,0,0,0.164068,0.0,0.0,0.0,0.124091,incident/action phrase,manual_review,incident/action phrase needs human pruning,,,,
commissioner food safety,phrase_frequency; tfidf,2,0.666667,0,0,0.11525,0.0,0.0,0.0,0.107004,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,,,,
litres edible oil,phrase_frequency; tfidf,2,0.666667,0,0,0.111396,0.0,0.0,0.0,0.105655,oil/product,manual_review,food/product term is relevant but not strong enough alone,,,,
groundnut oil,tfidf,1,0.333333,2,1,0.108161,0.0,0.035714,0.111111,0.093214,oil/product,manual_review,food/product term is relevant but not strong enough alone,11,15000 litres of adulterated cooking oil seized by FSSAI,https://timesofindia.indiatimes.com/life-style/food-news/15000-litres-of-adulterated-cooking-oil-seized-by-fssai/photostory/70872567.cms,"...eing run by a father-son duo, who were adding refined palm olein, a high fat liquid component of palm oil, to groundnut oil, coconut oil, and sunflower oil. Dr. K. Tamilselvan, Designated Officer of FSSAI in Coimbatore, said, “We hav..."
palm oil,phrase_frequency,1,0.333333,3,2,0.0,0.0,0.053571,0.222222,0.074702,oil/product,manual_review,food/product term is relevant but not strong enough alone,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...od Safety and Standards Act (FSS Act). Authorities seized approximately 10,260 kilograms of adulterated ghee, palm oil, soybean oil, and vanaspati from the site. Subsequently, a raid was conducted at the companyâs warehouse, whe..."
crackdown food adulteration,phrase_frequency,1,0.333333,0,0,0.0,0.0,0.0,0.0,0.033333,incident/action phrase,manual_review,incident/action phrase needs human pruning,,,,
kilograms adulterated ghee,phrase_frequency,1,0.333333,0,0,0.0,0.0,0.0,0.0,0.033333,incident/action phrase,manual_review,ghee can drift into dairy; keep only if you want oil-and-ghee coverage,,,,
food,yake,1,0.333333,46,8,0.0,0.998002,0.821429,0.888889,0.539381,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had..."
food products,phrase_frequency; tfidf; yake,3,1.0,5,5,0.126764,0.988036,0.089286,0.555556,0.488103,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...ste using harmful preservatives and fake branding. Following the raids, the police urged citizens to purchase food products only from licensed vendors, to check expiry dates, and to report any suspicious activity to authorities. In a..."
found,yake,1,0.333333,22,8,0.0,0.986319,0.392857,0.888889,0.472175,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...allegedly used expired ingredients, synthetic food colours, and hazardous chemicals. Many establishments were found operating in highly unhygienic conditions without valid FSSAI certification or trade licences. Overall, the p..."
safety department,phrase_frequency; tfidf; yake,3,1.0,5,4,0.126038,0.988484,0.089286,0.444444,0.471294,other_candidate,drop,outside edible-oil/adulteration domain,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...e largest crackdown on the fake ghee and oil trade in Jaisalmer district so far. A special team from the Food Safety Department headquarters in Jaipur conducted a surprise raid at a residential property in Lodha Colony, Pokaran, where ad..."
safety,yake,1,0.333333,23,7,0.0,0.99296,0.410714,0.777778,0.459847,other_candidate,drop,outside edible-oil/adulteration domain,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...e largest crackdown on the fake ghee and oil trade in Jaisalmer district so far. A special team from the Food Safety Department headquarters in Jaipur conducted a surprise raid at a residential property in Lodha Colony, Pokara..."
fsda team,phrase_frequency; tfidf; yake,3,1.0,5,2,0.18896,0.979552,0.089286,0.222222,0.45775,other_candidate,drop,non-oil food context without edible-oil signal,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,"...he estimated value of the seized oil is approximately Rs 6.43 crore, the department said. On February 25, the FSDA team seized and destroyed 9 quintals (900 kg) of contaminated khoya at Panki Railway Station in Kanpur. The khoya,..."
adulterated tea,phrase_frequency; tfidf; yake,3,1.0,4,3,0.118536,0.975816,0.071429,0.333333,0.446156,adulteration/fraud,drop,non-oil food context without edible-oil signal,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...large quantity of products. ""Authorities found 10 tea godowns containing adulterated stock. Around 3000 kg of adulterated tea powder, 1500 kg of expired tea powder, and synthetic colour and jaggery items were seized. Hyderabad, known f..."
products,yake,1,0.333333,14,7,0.0,0.973931,0.25,0.777778,0.430983,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...oil and 5,192 kilograms of wheat during the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces...."
fsda team raided,phrase_frequency; tfidf; yake,3,1.0,3,2,0.121295,0.972116,0.053571,0.222222,0.426852,other_candidate,drop,non-oil food context without edible-oil signal,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,"...samples were sent for testing. On February 22, in a major crackdown on food adulteration in Deoria district, FSDA team raided a mustard oil manufacturing unit. Suspected adulteration materials seized, including 400 litres of refined so..."
safety officer,phrase_frequency; tfidf; yake,3,1.0,3,2,0.115178,0.976433,0.053571,0.222222,0.42579,other_candidate,drop,outside edible-oil/adulteration domain,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...od Safety Officers Vinod Sharma, Devendra Singh, Lokesh Sharma, and Jagdish Prasad, along with Jaisalmer Food Safety Officer Kishanaram Kadwasara. According to Kadwasara, all ghee and oil samples have been sent to the Jaipur laborator..."
department,yake,1,0.333333,16,5,0.0,0.982314,0.285714,0.555556,0.405102,other_candidate,drop,outside edible-oil/adulteration domain,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...st crackdown on the fake ghee and oil trade in Jaisalmer district so far. A special team from the Food Safety Department headquarters in Jaipur conducted a surprise raid at a residential property in Lodha Colony, Pokaran, where ad..."
milk,yake,1,0.333333,12,5,0.0,0.965704,0.214286,0.555556,0.390235,other_candidate,drop,non-oil food context without edible-oil signal,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...s of adulterated ghee sold under various brands, including Aahar, Shubh, Kuber, Shrimool, Vinayak, and Topper Milk Fat. Around 4,000 kilograms of adulterated ghee were seized from the warehouse. Officials stated that the cas..."
tea,yake,1,0.333333,16,4,0.0,0.975301,0.285714,0.444444,0.386683,other_candidate,drop,non-oil food context without edible-oil signal,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...suspicious activity to authorities. In a separate incident, police also arrested 10 people associated with a tea-powder adulteration racket and seized a large quantity of products. ""Authorities found 10 tea godowns contain..."
team,yake,1,0.333333,12,4,0.0,0.969026,0.214286,0.444444,0.374399,other_candidate,drop,non-oil food context without edible-oil signal,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,...ing described as the largest crackdown on the fake ghee and oil trade in Jaisalmer district so far. A special team from the Food Safety Department headquarters in Jaipur conducted a surprise raid at a residential property in...
officials,yake,1,0.333333,11,4,0.0,0.962982,0.196429,0.444444,0.37021,other_candidate,drop,outside edible-oil/adulteration domain,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...where adulterated ghee and oil were being manufactured and packaged on a large scale. During the operation, officials collected 13 samples for testing and seized over 14,000 kilograms of suspected adulterated products. The main..."
police,yake,1,0.333333,11,3,0.0,0.969081,0.196429,0.333333,0.355068,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major success in seizing 5,026 litres of oil and 5,192 kilograms of wheat during the operation, which tar..."
edible oils,phrase_frequency; yake,2,0.666667,3,2,0.0,0.97551,0.053571,0.222222,0.351913,other_candidate,drop,low score or outside edible-oil/adulteration scope,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...during the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown on food adulte..."
oil manufacturing,phrase_frequency; yake,2,0.666667,3,2,0.0,0.968994,0.053571,0.222222,0.350284,other_candidate,drop,low score or outside edible-oil/adulteration scope,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...han Governmentâs âShuddh Aahar Milawat Par Vaarâ campaign, authorities raided an illegal adulterated ghee and oil manufacturing unit in Pokaran late Sunday night and seized more than 14,000 kilograms of adulterated ghee and edible oil...."
fsda,yake,1,0.333333,9,2,0.0,0.974373,0.160714,0.222222,0.334367,other_candidate,drop,outside edible-oil/adulteration domain,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,"Lucknow, Feb 28 (PTI) The Uttar Pradesh Food Safety and Drug Administration (FSDA) has seized 4,16,494 litres of edible oil of suspect or substandard quality, estimated to be worth approximat..."
kera,yake,1,0.333333,14,1,0.0,0.985968,0.25,0.111111,0.333992,other_candidate,drop,outside edible-oil/adulteration domain,10,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,"...were being sold in the market though the food safety designated officers had banned them in some districts. Kera Matha, Kerala Nanma, Venma Pure, Kera Sampoornam, Kera choice, Kera Nalikera Velichenna, Kesari, Keram Vally,..."
oil manufacturing unit,yake,1,0.333333,2,2,0.0,0.975809,0.035714,0.222222,0.315976,other_candidate,drop,low score or outside edible-oil/adulteration scope,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...han Governmentâs âShuddh Aahar Milawat Par Vaarâ campaign, authorities raided an illegal adulterated ghee and oil manufacturing unit in Pokaran late Sunday night and seized more than 14,000 kilograms of adulterated ghee and edible oil. The o..."
time adulterated food products,yake,1,0.333333,1,1,0.0,0.981491,0.017857,0.111111,0.298051,adulteration/fraud,drop,boilerplate or incomplete phrase,12,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",https://timesofindia.indiatimes.com/city/noida/paneer-adulterated-with-vegetable-oil-fda-collects-samples/articleshow/112664642.cms,"...r lab tests,â assistant commissioner of the food safety department Sarvesh Mishra said. This is not the first time adulterated food products have entered the markets. In March, six samples of paneer were found to be unsafe for consumption. As per rep..."
safety officer kishanaram kadwasara,yake,1,0.333333,1,1,0.0,0.970162,0.017857,0.111111,0.295219,other_candidate,drop,outside edible-oil/adulteration domain,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...od Safety Officers Vinod Sharma, Devendra Singh, Lokesh Sharma, and Jagdish Prasad, along with Jaisalmer Food Safety Officer Kishanaram Kadwasara. According to Kadwasara, all ghee and oil samples have been sent to the Jaipur laboratory for analysis. Furth..."
safety officers vinod sharma,yake,1,0.333333,1,1,0.0,0.97015,0.017857,0.111111,0.295216,other_candidate,drop,outside edible-oil/adulteration domain,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...adulteration that poses a serious threat to public health. The operation was carried out by Jaipur-based Food Safety Officers Vinod Sharma, Devendra Singh, Lokesh Sharma, and Jagdish Prasad, along with Jaisalmer Food Safety Officer Kishanaram Kadwa..."
cyberabad enforcement wing,yake,1,0.333333,1,1,0.0,0.967794,0.017857,0.111111,0.294627,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...at products, ice creams, and sauces. In a major crackdown on food adulteration and illegal manufacturing, the Cyberabad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food ite..."
time adulterated food,yake,1,0.333333,1,1,0.0,0.966388,0.017857,0.111111,0.294276,adulteration/fraud,drop,boilerplate or incomplete phrase,12,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",https://timesofindia.indiatimes.com/city/noida/paneer-adulterated-with-vegetable-oil-fda-collects-samples/articleshow/112664642.cms,"...r lab tests,â assistant commissioner of the food safety department Sarvesh Mishra said. This is not the first time adulterated food products have entered the markets. In March, six samples of paneer were found to be unsafe for consumption. A..."
cyberabad enforcement wing carried,yake,1,0.333333,1,1,0.0,0.965763,0.017857,0.111111,0.294119,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...at products, ice creams, and sauces. In a major crackdown on food adulteration and illegal manufacturing, the Cyberabad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, mach..."
fsda team seized,yake,1,0.333333,1,1,0.0,0.962886,0.017857,0.111111,0.2934,enforcement/evidence,drop,non-oil food context without edible-oil signal,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,"...he estimated value of the seized oil is approximately Rs 6.43 crore, the department said. On February 25, the FSDA team seized and destroyed 9 quintals (900 kg) of contaminated khoya at Panki Railway Station in Kanpur. The khoya, brough..."
safety officer sanjay pratap,yake,1,0.333333,1,1,0.0,0.9613,0.017857,0.111111,0.293004,other_candidate,drop,outside edible-oil/adulteration domain,6,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,"...ed mawa, valued at Rs 3.42 lakh, was transported to a rubbish disposal plant and destroyed. According to food safety officer Sanjay Pratap Singh, the action was taken in compliance with the directions of Cans the district magistrate. The special te..."
paneer,phrase_frequency; tfidf,2,0.666667,10,1,0.395435,0.0,0.178571,0.111111,0.248521,other_candidate,drop,non-oil food context without edible-oil signal,12,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",https://timesofindia.indiatimes.com/city/noida/paneer-adulterated-with-vegetable-oil-fda-collects-samples/articleshow/112664642.cms,NOIDA: A Greater Noida resident claimed a block of paneer he bought from a local store was laced with vegetable oil â a commonly used as adulterant to keep cottage che...
coconut,phrase_frequency; tfidf,2,0.666667,9,2,0.331428,0.0,0.160714,0.222222,0.240107,other_candidate,drop,low score or outside edible-oil/adulteration scope,10,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,"THIRUVANANTHAPURAM: In a major drive against adulteration of coconut oil, the office of commissioner of food safety has issued a ban on 45 brands of coconut oil, which were found..."
raided,phrase_frequency; tfidf,2,0.666667,6,3,0.183073,0.0,0.107143,0.333333,0.196814,other_candidate,drop,low score or outside edible-oil/adulteration scope,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...MER: In a major action under the Rajasthan Governmentâs âShuddh Aahar Milawat Par Vaarâ campaign, authorities raided an illegal adulterated ghee and oil manufacturing unit in Pokaran late Sunday night and seized more than 14,0..."
mawa,phrase_frequency; tfidf,2,0.666667,5,1,0.258885,0.0,0.089286,0.111111,0.187336,other_candidate,drop,non-oil food context without edible-oil signal,6,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,"...on ahead of Holi, the Food Security and Drug Administration (FSDA) department on Wednesday seized adulterated mawa and edible oil worth Rs 29.08 lakh and destroyed a large quantity of unsafe products. Acting on a tip-off, a..."
tea powder,phrase_frequency; tfidf,2,0.666667,5,3,0.157052,0.0,0.089286,0.333333,0.185028,other_candidate,drop,non-oil food context without edible-oil signal,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...ty of products. ""Authorities found 10 tea godowns containing adulterated stock. Around 3000 kg of adulterated tea powder, 1500 kg of expired tea powder, and synthetic colour and jaggery items were seized. Hyderabad, known for its..."
team raided,phrase_frequency; tfidf,2,0.666667,4,3,0.12956,0.0,0.071429,0.333333,0.172727,other_candidate,drop,non-oil food context without edible-oil signal,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...ty) Bhagwat Singh, in coordination with the Jaisalmer health department. Acting on specific intelligence, the team raided a premises belonging to Yogesh Tavari, owner of Satvik Trading Company, in Lodha Colony. Officials discovered..."
mustard,phrase_frequency; tfidf,2,0.666667,5,2,0.167428,0.0,0.089286,0.222222,0.171993,other_candidate,drop,low score or outside edible-oil/adulteration scope,3,Over 4 lakh litres seized in drive against substandard edible oil in UP,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,"...for testing. On February 22, in a major crackdown on food adulteration in Deoria district, FSDA team raided a mustard oil manufacturing unit. Suspected adulteration materials seized, including 400 litres of refined soybean oil..."
ice creams,phrase_frequency; tfidf,2,0.666667,3,2,0.11268,0.0,0.053571,0.222222,0.147474,other_candidate,drop,non-oil food context without edible-oil signal,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...ncluding bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown on food adulteration and illegal manufacturing, the Cyberabad Enforcement W..."
worth rs,tfidf,1,0.333333,4,3,0.135503,0.0,0.071429,0.333333,0.141474,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...h operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, machinery, and vehicles worth Rs 64.07 lakh, and arresting 28 individuals associated with the units, sources close to the development told Ind..."
